l,mu,rho,eta,dp_dx,B,Y,MI-DL_pi1,SI-DL_pi1
1.0,0.003796092428,1.795653484,0.190232817,0.336463923,0.5195342402,1407.6445041680481,34.7728679492066,34.28327111002828
1.0,0.002085742295,0.8290330358,0.2070899127,0.203550953,0.3426028146,1310.2658426978162,33.89062633828651,33.3057192897631
1.0,0.003463122712,8.40936925,7.049725288,0.2696274888,0.3404681885,6319.721274407807,57.69787930327692,53.3074928359551
1.0,0.009424101939,0.1967810909,0.1434143535,0.2432609418,0.6592309055,16.60083177870905,8.127758159939031,8.284608299822693
1.0,0.003820891996,0.1021231005,0.6654838634,0.1531388187,0.9341026151,32.6197862722547,10.222174834367337,10.370038680542732
1.0,0.0094282491,8.730888891,1.627332272,0.2037994758,0.2521032856,698.1714287512453,27.26580066888843,25.60911970953095
1.0,0.003511142746,0.9114162083,0.2976799788,0.1123168921,0.2430923473,281.4079406759431,20.282288841440117,19.80190991081044
1.0,0.008838888592,3.42827635,0.2687870513,0.4143362467,0.1064973474,634.1246061669646,26.401217898713135,24.858943619838385
1.0,0.004646345805,0.3512307619,0.7967091232,0.1190001561,0.5473030976,64.49989430480493,12.470040945525975,12.372044184092314
1.0,0.005109918115,5.186200964,0.5463075203,0.1406278557,0.7477436941,929.8036043422031,30.37849200832208,29.823096786349538
1.0,0.003522039451,0.135110039,7.100851493,0.1869082924,0.1030934991,71.4370428390542,12.734797036229821,11.852533766361146
1.0,0.009861374888,0.1692356499,0.5321476707,0.3280465498,0.4145795447,19.571839211328715,8.300635894002031,8.226412053761752
1.0,0.005255214293,0.4213492131,8.075982873,0.3600649894,0.2532918265,192.6307190150982,17.720818183984015,16.614715930201676
1.0,0.007960860824,0.3442257119,0.3312964526,0.1673690872,0.1289325671,31.741000894983372,9.708390702354679,9.396339231159091
1.0,0.004780878125,0.2596700917,2.789659021,0.1182497741,0.1571099877,47.073219709229754,11.071457832689928,10.524708491697673
1.0,0.001166158297,0.6076084313,2.663445315,0.2322836107,0.8672207844,3746.2187448895315,47.07802339316057,45.83574523837929
1.0,0.001567115003,0.1539368432,6.276108056,0.4051587995,0.9163669507,866.3413243419164,29.448800951157622,28.63569025339784
1.0,0.003119485075,0.6455801849,0.7526758325,0.2832160991,0.1285189195,654.6901409568915,26.68405844117238,25.236689744273054
1.0,0.001939994205,0.2350295099,0.30447362,0.1320126238,0.7305994516,222.00186823842384,20.188312095303928,20.383402414145994
1.0,0.001779568169,0.2227721808,0.1366304148,0.1793165519,0.1043220532,434.71888857718176,23.32522513566791,22.632061686050307
1.0,0.002963638086,2.965024686,2.378328083,0.1932444626,0.3637559624,2260.3667252298455,40.40107138220425,38.279874993355044
1.0,0.004792251981,0.7129822483,0.1870446403,0.224259485,0.8719816133,189.4735485800668,19.08184797726427,19.277758657008402
1.0,0.004276599355,1.452807487,5.841817274,0.2298604379,0.2124261517,637.4154200280283,26.459397759524226,24.62166562159393
1.0,0.001190485701,2.049901833,0.3287647307,0.1234674185,0.3144914608,6479.530515758796,56.42870931385867,54.72800363217509
1.0,0.00691460429,0.3778256823,0.3427905611,0.3899428106,0.1015304034,107.86630542558561,14.597645731397668,13.927365932749424
1.0,0.006770565089,2.852527125,2.431035992,0.1164493803,0.6559063109,249.78969262745122,19.392774982660082,18.778180372742963
1.0,0.003004424052,0.2324795275,1.247028388,0.1249022146,0.2029693124,112.01400272287317,14.79763305960483,14.272531515321353
