method,variable,normalized_exponent
MI-DL,l,1.0
MI-DL,mu,-0.6669360242274225
MI-DL,rho,0.3338720484548469
MI-DL,eta,0.0008080726822715276
MI-DL,dp_dx,0.33387204845484736
MI-DL,B,-0.0016161453645434955
SI-DL,l,1.0
SI-DL,mu,-0.6629035246211098
SI-DL,rho,0.3258070492422215
SI-DL,eta,-0.011289426136666683
SI-DL,dp_dx,0.3258070492422219
SI-DL,B,0.022578852273332926
