method,formula,n_samples,feature_space,mutual_information,epsilon_lb_normalized,S_cov,sidl_error,sidl_bandwidth,sidl_n_retained,best_seed,rank_by_MI,rank_by_S_cov,pi1_exp_l,pi1_exp_mu,pi1_exp_rho,pi1_exp_eta,pi1_exp_dp_dx,pi1_exp_B
MI-DL,l^1.0000 * mu^-0.6669 * rho^0.3339 * eta^0.0008 * dp_dx^0.3339 * B^-0.0016,483,raw_pi,2.6916165288880594,0.00014558852151583376,0.8460451848331043,0.1539548151668957,0.5,483,42.0,1,2,1.0,-0.6669360242274225,0.3338720484548469,0.0008080726822715276,0.33387204845484736,-0.0016161453645434955
SI-DL,l^1.0000 * mu^-0.6629 * rho^0.3258 * eta^-0.0113 * dp_dx^0.3258 * B^0.0226,483,raw_pi,2.427876565057402,0.00024672250032208254,0.8566469489890461,0.14335305101095386,0.5,483,,2,1,1.0,-0.6629035246211098,0.3258070492422215,-0.011289426136666683,0.3258070492422219,0.022578852273332926
