method,n_single_set_samples,selection_set,selection_metric,boundary,S_cov,S_cov_raw,sidl_error_clipped,sidl_error_raw,sidl_bandwidth,sidl_n_retained,rmse,nrmse,corr_Y_mhat,max_abs_residual,median_abs_residual,mutual_information,epsilon_lb_normalized,optimizer_fun,optimizer_success,optimizer_message,objective_evaluations,elapsed_seconds,formula
SI-DL single-set DE,10000,same_10000_points,max_S_cov_clipped,mirror,0.9954857934056687,0.9954857934056687,0.004514206594331327,0.004514206594331327,0.1,10000,8.468301976091706,0.04950336164521228,0.9987763148125169,326.6314322614171,1.6373558793796807,2.6911895502220133,4.640749730084804e-05,-0.9954857934056687,True,Optimization terminated successfully.,1440.0,976.6896088123322,"pi1: r^-0.031 * q_1^0.001 * I^-0.502 * nu^0.541 * K^-1.000 * g^-0.047 * omega^0.552 * a_1^-0.040
pi2: r^0.599 * q_1^0.003 * I^-0.499 * nu^-0.089 * K^-1.000 * g^0.578 * omega^-0.070 * a_1^0.583 * b_1^0.003"
IT-PI continuous,10000,same_10000_points,max_S_cov_clipped,mirror,0.9955225033333323,0.9955225033333323,0.004477496666667746,0.004477496666667746,0.1,10000,8.411710570631032,0.04917254387106584,0.9987926384834049,326.6314322614171,1.646969456759127,2.6884010421320816,4.6667035716429365e-05,,,,,,"pi1: r^-0.030 * I^-0.500 * nu^0.540 * K^-1.000 * g^-0.050 * omega^0.550 * a_1^-0.040
pi2: r^0.600 * I^-0.500 * nu^-0.090 * K^-1.000 * g^0.580 * omega^-0.070 * a_1^0.580"
