method,n_single_set_samples,selection_set,selection_metric,boundary,S_cov,S_cov_raw,sidl_error_clipped,sidl_error_raw,sidl_bandwidth,sidl_n_retained,rmse,nrmse,corr_Y_mhat,max_abs_residual,median_abs_residual,mutual_information,epsilon_lb_normalized,optimizer_fun,optimizer_success,optimizer_message,objective_evaluations,elapsed_seconds,de_maxiter,de_popsize,de_tol,formula
SI-DL 2D fine DE,12000,same_12000_points,max_S_cov_clipped,mirror,1.0,1.0000678913324461,0.0,-6.789133244611278e-05,0.1,12000,10.667853437307775,0.06625890280367347,0.9978124038544582,605.3964476908241,1.5845056616585793,2.7072209173247046,5.151269508642145e-05,-1.0,False,Maximum number of iterations has been exceeded.,3672.0,3170.317927837372,50.0,6.0,1e-05,"pi1: r^0.023 * q_1^0.062 * I^-0.543 * nu^0.568 * K^-1.000 * g^-0.073 * omega^0.517 * a_1^-0.099 * b_1^0.012
pi2: r^0.600 * q_1^0.042 * I^-0.525 * nu^-0.052 * K^-1.000 * g^0.552 * omega^-0.095 * a_1^0.527 * b_1^0.007"
IT-PI continuous,12000,same_12000_points,max_S_cov_clipped,mirror,0.997699339851706,0.997699339851706,0.002300660148293998,0.002300660148293998,0.1,12000,8.343474932711326,0.051821999417243796,0.9986565808836037,509.5666965148953,1.5619946292938987,2.8199134601473332,4.111788554193185e-05,,,,,,,,,"pi1: r^-0.030 * I^-0.500 * nu^0.540 * K^-1.000 * g^-0.050 * omega^0.550 * a_1^-0.040
pi2: r^0.600 * I^-0.500 * nu^-0.090 * K^-1.000 * g^0.580 * omega^-0.070 * a_1^0.580"
