seed,mi_raw_pi,epsilon_lb_raw_pi_normalized,formula
0,2.5906101101700276,0.002604828630824972,U^0.5196 * nu^-0.5196 * x^-0.4804 * y^1.0000
42,2.5899195009967784,0.0026084289537630194,U^0.5204 * nu^-0.5204 * x^-0.4796 * y^1.0000
101,2.5889345041458025,0.002613572607192862,U^0.5202 * nu^-0.5202 * x^-0.4798 * y^1.0000
