U,nu,x,y,u,v,u_over_U,v_over_U,known_eta,u_over_U_clean,u_over_U_noisy,noise,MI-DL_pi1,SI-DL_pi1,Known Blasius_pi1
0.01,1e-06,0.004413793103448276,0.0004716632810682492,0.0018553729739937959,6.0047446196081774e-05,0.18553729739937957,0.0060047446196081775,0.709947251040852,0.18553729739937957,0.18919747945765206,0.0036601820582724824,0.7647333735297452,0.7322715134914798,0.7099472510408521
0.01,1e-06,0.004413793103448276,0.0008433265621364984,0.0036796746758983633,0.00019571157260772732,0.36796746758983634,0.019571157260772732,1.2693745698468004,0.36796746758983634,0.378131088494161,0.010163620904324667,1.3673312991192281,1.3092900015973519,1.2693745698468009
0.01,1e-06,0.004413793103448276,0.0012149898432047476,0.005397840926907399,0.0003954766381634061,0.5397840926907399,0.03954766381634061,1.8288018886527488,0.5397840926907399,0.5310089689744374,-0.008775123716302543,1.969929224708711,1.886308489703224,1.8288018886527495
0.01,1e-06,0.004413793103448276,0.0015866531242729968,0.0069060613954090785,0.0006338883272864166,0.6906061395409079,0.06338883272864165,2.3882292074586973,0.6906061395409079,0.6769881737700161,-0.013617965770891811,2.5725271502981943,2.4633269778090963,2.388229207458698
0.01,1e-06,0.004413793103448276,0.0019583164053412457,0.008109822954486725,0.0008744025359664663,0.8109822954486725,0.08744025359664663,2.947656526264645,0.8109822954486725,0.781131313957209,-0.02985098149146352,3.175125075887677,3.0403454659149682,2.947656526264647
0.01,1e-06,0.004413793103448276,0.002329979686409495,0.008965435489763347,0.001081003770057346,0.8965435489763347,0.1081003770057346,3.5070838450705937,0.8965435489763347,0.9111049222294475,0.014561373253112804,3.7777230014771574,3.6173639540208384,3.5070838450705932
0.01,1e-06,0.004413793103448276,0.002701642967477744,0.009498553308226418,0.0012319218237505061,0.9498553308226418,0.12319218237505061,4.066511163876542,0.9498553308226418,0.9501049679510075,0.00024963712836565733,4.380320927066642,4.194382442126712,4.066511163876544
0.01,1e-06,0.004413793103448276,0.0030733062485459933,0.009786645510454162,0.0013254597403787914,0.9786645510454162,0.13254597403787916,4.62593848268249,0.9786645510454162,0.9817477746405515,0.0030832235951353927,4.982918852656125,4.771400930232584,4.625938482682493
0.01,1e-06,0.004413793103448276,0.0034449695296142426,0.00992080566570276,0.001374597882886087,0.992080566570276,0.1374597882886087,5.185365801488438,0.992080566570276,0.9803371046641978,-0.01174346190607821,5.585516778245607,5.348419418338455,5.185365801488439
0.01,1e-06,0.004413793103448276,0.0038166328106824915,0.009974464760103687,0.001396482652244109,0.9974464760103687,0.1396482652244109,5.7447931202943865,0.9974464760103687,1.0158275723098116,0.018381096299442807,6.188114703835087,5.9254379064443246,5.744793120294386
0.01,1e-06,0.004413793103448276,0.004188296091750741,0.009992869194029488,0.0014047542765718644,0.9992869194029488,0.14047542765718643,6.304220439100335,0.9992869194029488,1.0134223360396009,0.014135416636652041,6.790712629424572,6.502456394550199,6.3042204391003365
0.01,1e-06,0.004413793103448276,0.004559959372818991,0.009998279107300759,0.0014074107200006485,0.9998279107300759,0.14074107200006486,6.863647757906285,0.9998279107300759,0.9980021788954306,-0.0018257318346453328,7.393310555014055,7.079474882656071,6.863647757906285
