method,formula,mutual_information,epsilon_lb_normalized,S_cov,sidl_error,sidl_bandwidth,gpr_mse_raw,gpr_mse_normalized,gpr_rmse_normalized,best_seed,rank_by_MI,rank_by_gpr,rank_by_S_cov,pi1_exp_h,pi1_exp_delta_T,pi1_exp_lambda,pi1_exp_g,pi1_exp_alpha,pi1_exp_nu,pi1_exp_kappa
MI-DL,h^1.0000 * delta_T^0.3413 * g^0.3333 * alpha^0.3413 * nu^-0.3452 * kappa^-0.3215,2.8699443654744634,0.0007598297947468368,0.9772400491320381,0.022759950867961898,0.097,5158.598121163772,0.0020001234864671473,0.04472274014935967,11.0,1,2,2,1.0,0.34129384305304467,-4.089539205834791e-17,0.3333333333333335,0.34129384305304467,-0.34519257785796753,-0.32147408880869915
SI-DL,h^1.0000 * delta_T^0.3452 * g^0.3333 * alpha^0.3452 * nu^-0.3785 * kappa^-0.2881,2.798452853733063,0.0008766233962547064,0.9844085329998034,0.015591467000196646,0.097,2944.074441803493,0.0011414947043074531,0.03378601344206583,11.0,3,1,1,1.0,0.34518044322927716,-0.0,0.3333333333333333,0.34518044322927716,-0.3785460240634265,-0.2881206426032401
Known Ra,h^1.0000 * delta_T^0.3333 * g^0.3333 * alpha^0.3333 * nu^-0.3333 * kappa^-0.3333,2.8473052801365633,0.0007950242557722099,0.9756194516067234,0.024380548393276635,0.097,8805.244244087678,0.003414023617080348,0.05842964673075089,,2,3,3,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333
