method,gpr_mse_raw,gpr_mse_normalized,gpr_rmse_normalized,n_train,n_test
MI-DL,0.26710997273701315,0.038144147549063395,0.1953052675916945,67,23
SI-DL,0.16839413767118483,0.02404721459071493,0.15507164341269788,67,23
Known Ke,0.1823858876463899,0.026045280668349893,0.1613855032781752,67,23
