method,formula,mutual_information,epsilon_lb_normalized,S_cov,sidl_error,sidl_bandwidth,gpr_mse_normalized_log_pi,gpr_rmse_normalized_log_pi,rank_by_gpr_log_pi,rank_by_S_cov,rank_by_MI,exp_etaP,exp_V_s,exp_rho,exp_c_p,exp_Tl-T0,exp_r0,exp_alpha,gpr_mse_raw,gpr_mse_normalized,gpr_rmse_normalized,n_train,n_test,rank_by_gpr
MI-DL,etaP^0.7230 * V_s^-0.3574 * rho^-0.7230 * c_p^-0.6828 * Tl-T0^-0.6828 * r0^-1.0000 * alpha^-0.4459,1.5641888363688468,0.0286731427078864,0.9057873407862778,0.0942126592137222,0.18,0.0379564644547473,0.1948241885771562,3,3,1,0.7229568007527643,-0.357427594116705,-0.7229568007527644,-0.6827646033180306,-0.6827646033180305,-1.0,-0.4459136015055281,0.26710997273701315,0.038144147549063395,0.1953052675916945,67,23,3
SI-DL,etaP^0.6898 * V_s^-0.3355 * rho^-0.6898 * c_p^-0.6771 * Tl-T0^-0.6771 * r0^-1.0000 * alpha^-0.3795,1.5237994173404408,0.031085445787651,0.9762113480217092,0.0237886519782908,0.06,0.0254007334899548,0.1593760756511303,1,1,2,0.6897629581605487,-0.3354639812891864,-0.6897629581605486,-0.6771494884356813,-0.6771494884356813,-1.0,-0.379525916321097,0.16839413767118483,0.02404721459071493,0.15507164341269788,67,23,1
Known Ke,etaP^0.6667 * V_s^-0.3333 * rho^-0.6667 * c_p^-0.6667 * Tl-T0^-0.6667 * r0^-1.0000 * alpha^-0.3333,1.4771077259918863,0.0341281689173466,0.9402922952186288,0.0597077047813711,0.15,0.0279372503784551,0.1671443997819106,2,2,3,0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-1.0,-0.3333333333333333,0.1823858876463899,0.026045280668349893,0.1613855032781752,67,23,2
