U,y,t,nu,u,u_over_U,MI-DL_log_pi1,MI-DL_pi1,SI-DL_log_pi1,SI-DL_pi1,Known Rayleigh_log_pi1,Known Rayleigh_pi1
0.8869780242779817,0.001,0.01,0.007702859403170355,0.830021654600436,0.9357860419102161,2.1720896280475595,8.776604731769261,-2.1720788098915365,0.1139405098870106,-2.172088351990515,0.11393942266057482
0.8869780242779817,0.001,0.36642857142857144,0.007702859403170355,0.8775590317724,0.9893808051070387,3.9729164347939134,53.13928232057009,-3.971061280059955,0.01885341376186211,-3.9726976097682694,0.018822588587772558
0.8869780242779817,0.001,0.7228571428571429,0.007702859403170355,0.8802717826069105,0.9924392245495257,4.312661480048691,74.63887469923955,-4.310458371690437,0.013427393446418951,-4.312401612106591,0.013401326128526025
0.8869780242779817,0.001,1.0792857142857144,0.007702859403170355,0.8814897049697871,0.9938123390230978,4.513107251122325,91.20477481362332,-4.510698854023312,0.010990776542844404,-4.512823168319255,0.010967453460660246
0.8869780242779817,0.001,1.4357142857142857,0.007702859403170355,0.8822194740838355,0.9946350979799982,4.655806009242823,105.1939731530491,-4.653251465641413,0.009530563198420201,-4.6555046877094455,0.009509112898320793
0.8869780242779817,0.001,1.792142857142857,0.007702859403170355,0.8827188736096735,0.9951981328153251,4.766694177749978,117.53006553535917,-4.764026066811348,0.00853119300961088,-4.766379460366096,0.008511139361286633
0.8869780242779817,0.001,2.1485714285714286,0.007702859403170355,0.8830881563754626,0.9956144709383464,4.857400704907987,128.68926562005203,-4.854639695882063,0.007792140387857339,-4.85707502971775,0.007773187012983399
0.8869780242779817,0.001,2.505,0.007702859403170355,0.8833755059633791,0.9959384356590626,4.934152759478838,138.95536403072467,-4.931313143992178,0.0072170200697819304,-4.933817812252974,0.007198966447281331
0.8869780242779817,0.001,2.861428571428571,0.007702859403170355,0.8836073340539292,0.9961998041306646,5.000676928977112,148.51365828212354,-4.997769182030689,0.00675299491066251,-5.0003339452957665,0.0067356972690462875
0.8869780242779817,0.001,3.2178571428571425,0.007702859403170355,0.8837994885446665,0.9964164436476286,5.0593813476755605,157.49305273528006,-5.056413477953152,0.00636835886274791,-5.059031272204104,0.0063517096111944055
0.8869780242779817,0.001,3.574285714285714,0.007702859403170355,0.8839621308498727,0.996599810428715,5.111912544481487,165.98750998664502,-5.10889087435618,0.006042781412004303,-5.111556122976285,0.006026697340729911
0.8869780242779817,0.001,3.9307142857142856,0.007702859403170355,0.8841021161765696,0.9967576331964334,5.15944618952223,174.0680282084574,-5.156375837291624,0.005762546292467578,-5.159084025712765,0.005746961344335435
0.8869780242779817,0.001,4.287142857142857,0.007702859403170355,0.8842242593499885,0.9968953402986114,5.202851107525705,181.78980599304006,-5.199736301670999,0.005518019321399357,-5.202483700183041,0.005502879929820199
0.8869780242779817,0.001,4.643571428571429,0.007702859403170355,0.8843320546115815,0.9970168712256946,5.242787564153337,189.1967661333653,-5.239631856937393,0.005302208447868731,-5.24241533228512,0.005287470402374273
0.8869780242779817,0.001,5.0,0.007702859403170355,0.884428107560452,0.9971251635917301,5.279769100626112,196.32453890480915,-5.2765755183629,0.00510989962220841,-5.27939240120161,0.0050955258877225075
0.8869780242779817,0.05357894736842105,0.01,0.007702859403170355,1.4047046467086953e-05,1.5836972374283498e-05,-1.8090665898964677,0.1638069645418625,1.8090774080524903,6.104812582367194,1.8090678659535127,6.10475432991922
0.8869780242779817,0.05357894736842105,0.36642857142857144,0.007702859403170355,0.4220025527712893,0.47577565759287893,-0.008239783150113339,0.9917940708161419,0.0100949378840716,1.0101460636618742,0.008458608175757387,1.0084944832817078
0.8869780242779817,0.05357894736842105,0.7228571428571429,0.007702859403170355,0.542517908517967,0.6116475196322791,0.33150526210466363,1.3930634767048642,-0.32930215374640975,0.7194256067607626,-0.33124539416256304,0.7180289473073418
0.8869780242779817,0.05357894736842105,1.0792857142857144,0.007702859403170355,0.6011636770721218,0.6777661459667859,0.5319510331782982,1.7022502175430685,-0.5295426360792848,0.5888742379271369,-0.5316669503752278,0.5876246117343222
0.8869780242779817,0.05357894736842105,1.4357142857142857,0.007702859403170355,0.6374274335438759,0.7186507625854146,0.6746497912987954,1.9633452749586775,-0.6720952476973856,0.5106375439995662,-0.6743484697654187,0.5094882594995032
0.8869780242779817,0.05357894736842105,1.792142857142857,0.007702859403170355,0.6626695131809832,0.747109280097903,0.7855379598059504,2.193586684844622,-0.78286984886732,0.457092341251783,-0.7852232424220689,0.45601788788367315
0.8869780242779817,0.05357894736842105,2.1485714285714286,0.007702859403170355,0.6815357235803967,0.7683794918540183,0.8762444869639605,2.401862521395865,-0.8734834779380354,0.4174946797283563,-0.8759188117737229,0.41647917785353145
0.8869780242779817,0.05357894736842105,2.505,0.007702859403170355,0.6963246228639385,0.7850528466370529,0.952996541534811,2.593469466192308,-0.9501569260481502,0.38668033847568445,-0.9526615943089469,0.3857130443859152
0.8869780242779817,0.05357894736842105,2.861428571428571,0.007702859403170355,0.7083204469108256,0.7985772223470959,1.0195207110330844,2.771865920786197,-1.0166129640866617,0.3618183588976018,-1.0191777273517393,0.36089156946784834
0.8869780242779817,0.05357894736842105,3.2178571428571425,0.007702859403170355,0.7183043303544793,0.8098332886422905,1.0782251297315333,2.9394577622498255,-1.075257260009124,0.3412099643303881,-1.077875054260077,0.3403179149576789
0.8869780242779817,0.05357894736842105,3.574285714285714,0.007702859403170355,0.7267822612802177,0.8193915084557292,1.1307563265374596,3.097998712913808,-1.127734656412153,0.3237658672326514,-1.1303999050322586,0.3229040996243708
0.8869780242779817,0.05357894736842105,3.9307142857142856,0.007702859403170355,0.7340983208949592,0.8276398070769908,1.1782899715782031,3.2488138860124693,-1.1752196193475972,0.30875116451221,-1.1779278077687372,0.3079161393964987
0.8869780242779817,0.05357894736842105,4.287142857142857,0.007702859403170355,0.7404957249069093,0.8348523916471189,1.221694889581677,3.3929335106756002,-1.2185800837269716,0.29564966679918653,-1.221327482239014,0.29483851413457685
0.8869780242779817,0.05357894736842105,4.643571428571429,0.007702859403170355,0.746151907496768,0.8412293056574327,1.26163134620931,3.5311773639822612,-1.2584756389933653,0.28408674736475625,-1.261259114341092,0.28329709840089523
0.8869780242779817,0.05357894736842105,5.0,0.007702859403170355,0.7511997584444017,0.8469203721883569,1.2986128826820846,3.664210451072078,-1.2954193004188734,0.27378304291621886,-1.298236183257583,0.2730129133527111
0.8869780242779817,0.1061578947368421,0.01,0.007702859403170355,0.0,0.0,-2.4928379307402118,0.08267500738900146,2.4928487488962343,12.095684654847382,2.4928392067972567,12.095569237177868
