method,formula,mutual_information,epsilon_lb_normalized,S_cov,sidl_error,sidl_bandwidth,gpr_mse_normalized_log_pi,gpr_rmse_normalized_log_pi,gpr_mse_normalized_raw_pi,gpr_rmse_normalized_raw_pi,rank_by_gpr_log_pi,rank_by_gpr_raw_pi,rank_by_S_cov,rank_by_MI,exp_etaP,exp_V_s,exp_rho,exp_c_p,exp_Tl-T0,exp_r0,exp_alpha
MI-DL,etaP^0.7230 * V_s^-0.3574 * rho^-0.7230 * c_p^-0.6828 * Tl-T0^-0.6828 * r0^-1.0000 * alpha^-0.4459,1.5641888363688468,0.02867314270788641,0.9057873407862778,0.09421265921372224,0.18000000000000002,0.03795646445474732,0.1948241885771562,0.03814414754906121,0.1953052675916889,3,3,3,1,0.7229568007527643,-0.35742759411670505,-0.7229568007527644,-0.6827646033180306,-0.6827646033180305,-1.0,-0.44591360150552817
SI-DL,etaP^0.6898 * V_s^-0.3355 * rho^-0.6898 * c_p^-0.6771 * Tl-T0^-0.6771 * r0^-1.0000 * alpha^-0.3795,1.5237994173404408,0.031085445787651076,0.9762113480217092,0.02378865197829083,0.06,0.025400733489954808,0.1593760756511303,0.024047214590702408,0.15507164341265753,1,1,1,2,0.6897629581605487,-0.3354639812891864,-0.6897629581605486,-0.6771494884356813,-0.6771494884356813,-1.0,-0.37952591632109706
Known Ke,etaP^0.6667 * V_s^-0.3333 * rho^-0.6667 * c_p^-0.6667 * Tl-T0^-0.6667 * r0^-1.0000 * alpha^-0.3333,1.4771077259918863,0.0341281689173466,0.9402922952186289,0.05970770478137111,0.15000000000000002,0.02793725037845517,0.16714439978191065,0.026045280668342892,0.16138550327815349,2,2,2,3,0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-1.0,-0.3333333333333333
