theta1,theta2,theta1_over_pi,theta2_over_pi,S_cov
0.0,0.0,0.0,0.0,0.19294200904501457
0.06283185307179587,0.0,0.02,0.0,0.753962378781035
0.12566370614359174,0.0,0.04,0.0,0.8914794925775602
0.1884955592153876,0.0,0.060000000000000005,0.0,0.935409242221463
0.25132741228718347,0.0,0.08,0.0,0.9543353627609198
0.3141592653589793,0.0,0.1,0.0,0.9640514675109654
0.3769911184307752,0.0,0.12000000000000001,0.0,0.9696793251708703
0.4398229715025711,0.0,0.14,0.0,0.9732170720289296
0.5026548245743669,0.0,0.16,0.0,0.9755745219469943
0.5654866776461628,0.0,0.18,0.0,0.9772166213277734
0.6283185307179586,0.0,0.2,0.0,0.9784013704728214
0.6911503837897546,0.0,0.22000000000000003,0.0,0.9792809031852832
0.7539822368615504,0.0,0.24000000000000002,0.0,0.9799493229683018
0.8168140899333463,0.0,0.26,0.0,0.9804670996458036
0.8796459430051422,0.0,0.28,0.0,0.9808743861843717
0.942477796076938,0.0,0.30000000000000004,0.0,0.9811986095137958
1.0053096491487339,0.0,0.32,0.0,0.9814590141344726
1.0681415022205298,0.0,0.3400000000000001,0.0,0.9816695458245461
1.1309733552923256,0.0,0.36,0.0,0.9818410480900693
1.1938052083641215,0.0,0.38000000000000006,0.0,0.9819838175891261
1.2566370614359172,0.0,0.4,0.0,0.9821119327673092
1.3194689145077132,0.0,0.42000000000000004,0.0,0.9822503692022183
1.3823007675795091,0.0,0.44000000000000006,0.0,0.9824533272738819
1.4451326206513049,0.0,0.46,0.0,0.9828914407529374
1.5079644737231008,0.0,0.48000000000000004,0.0,0.984304214216576
1.5707963267948968,0.0,0.5000000000000001,0.0,0.9875248777258238
1.6336281798666925,0.0,0.52,0.0,0.9846785525680128
1.6964600329384885,0.0,0.54,0.0,0.9833328638123049
1.7592918860102844,0.0,0.56,0.0,0.9827641330665791
1.8221237390820801,0.0,0.5800000000000001,0.0,0.9824115648573155
1.884955592153876,0.0,0.6000000000000001,0.0,0.9821399193580127
1.9477874452256718,0.0,0.62,0.0,0.9818939155579731
2.0106192982974678,0.0,0.64,0.0,0.9816445132688568
2.0734511513692637,0.0,0.66,0.0,0.9813750178675775
2.1362830044410597,0.0,0.6800000000000002,0.0,0.9810717281771092
2.199114857512855,0.0,0.7,0.0,0.9807196547029952
2.261946710584651,0.0,0.72,0.0,0.9803009223200931
2.324778563656447,0.0,0.7400000000000001,0.0,0.9797930282625085
2.387610416728243,0.0,0.7600000000000001,0.0,0.9791657203579416
2.450442269800039,0.0,0.7800000000000001,0.0,0.9783758668040968
2.5132741228718345,0.0,0.8,0.0,0.9773590850771207
2.5761059759436304,0.0,0.8200000000000001,0.0,0.9760154459899999
2.6389378290154264,0.0,0.8400000000000001,0.0,0.9741834925205387
2.7017696820872223,0.0,0.8600000000000001,0.0,0.9715896255663915
2.7646015351590183,0.0,0.8800000000000001,0.0,0.9677414432082564
2.8274333882308142,0.0,0.9000000000000001,0.0,0.9616792078309548
2.8902652413026098,0.0,0.92,0.0,0.951321052845339
2.9530970943744057,0.0,0.9400000000000001,0.0,0.9314638404576611
3.0159289474462017,0.0,0.9600000000000001,0.0,0.8863200363428985
3.0787608005179976,0.0,0.9800000000000001,0.0,0.7468497042762187
3.141592653589793,0.0,1.0,0.0,0.19294200904501443
0.0,0.06283185307179587,0.0,0.02,0.753962378781035
0.06283185307179587,0.06283185307179587,0.02,0.02,0.3300349971648854
0.12566370614359174,0.06283185307179587,0.04,0.02,0.7557023155700054
0.1884955592153876,0.06283185307179587,0.060000000000000005,0.02,0.8860628100553376
0.25132741228718347,0.06283185307179587,0.08,0.02,0.9299239172605618
0.3141592653589793,0.06283185307179587,0.1,0.02,0.9495313818049184
0.3769911184307752,0.06283185307179587,0.12000000000000001,0.02,0.9599121385163807
0.4398229715025711,0.06283185307179587,0.14,0.02,0.9660925385894088
0.5026548245743669,0.06283185307179587,0.16,0.02,0.9700893195921254
0.5654866776461628,0.06283185307179587,0.18,0.02,0.9728338889355608
0.6283185307179586,0.06283185307179587,0.2,0.02,0.9748069200911327
0.6911503837897546,0.06283185307179587,0.22000000000000003,0.02,0.9762779498060465
0.7539822368615504,0.06283185307179587,0.24000000000000002,0.02,0.977407928750269
0.8168140899333463,0.06283185307179587,0.26,0.02,0.9782978016848477
0.8796459430051422,0.06283185307179587,0.28,0.02,0.9790134444509182
0.942477796076938,0.06283185307179587,0.30000000000000004,0.02,0.9795993376655004
1.0053096491487339,0.06283185307179587,0.32,0.02,0.980086443686902
1.0681415022205298,0.06283185307179587,0.3400000000000001,0.02,0.9804970286645763
1.1309733552923256,0.06283185307179587,0.36,0.02,0.9808479928554027
1.1938052083641215,0.06283185307179587,0.38000000000000006,0.02,0.9811541952782834
1.2566370614359172,0.06283185307179587,0.4,0.02,0.9814332985678672
1.3194689145077132,0.06283185307179587,0.42000000000000004,0.02,0.9817131537082107
1.3823007675795091,0.06283185307179587,0.44000000000000006,0.02,0.9820503427037387
1.4451326206513049,0.06283185307179587,0.46,0.02,0.9826180251533827
1.5079644737231008,0.06283185307179587,0.48000000000000004,0.02,0.9841595587565679
1.5707963267948968,0.06283185307179587,0.5000000000000001,0.02,0.9875197145864572
1.6336281798666925,0.06283185307179587,0.52,0.02,0.9848007345705371
1.6964600329384885,0.06283185307179587,0.54,0.02,0.9835719891853232
1.7592918860102844,0.06283185307179587,0.56,0.02,0.9831255031221732
1.8221237390820801,0.06283185307179587,0.5800000000000001,0.02,0.982899325789327
1.884955592153876,0.06283185307179587,0.6000000000000001,0.02,0.982758723518162
1.9477874452256718,0.06283185307179587,0.62,0.02,0.9826501848494132
2.0106192982974678,0.06283185307179587,0.64,0.02,0.9825468597762362
2.0734511513692637,0.06283185307179587,0.66,0.02,0.9824346635481597
2.1362830044410597,0.06283185307179587,0.6800000000000002,0.02,0.982303160316891
2.199114857512855,0.06283185307179587,0.7,0.02,0.9821416636738103
2.261946710584651,0.06283185307179587,0.72,0.02,0.9819380688797898
2.324778563656447,0.06283185307179587,0.7400000000000001,0.02,0.9816777982325909
2.387610416728243,0.06283185307179587,0.7600000000000001,0.02,0.981341840815406
2.450442269800039,0.06283185307179587,0.7800000000000001,0.02,0.9809035493283378
2.5132741228718345,0.06283185307179587,0.8,0.02,0.9803236749521076
2.5761059759436304,0.06283185307179587,0.8200000000000001,0.02,0.9795422840078836
2.6389378290154264,0.06283185307179587,0.8400000000000001,0.02,0.9784647803825391
2.7017696820872223,0.06283185307179587,0.8600000000000001,0.02,0.9769362906611235
2.7646015351590183,0.06283185307179587,0.8800000000000001,0.02,0.9746912544530311
2.8274333882308142,0.06283185307179587,0.9000000000000001,0.02,0.9712469107467427
2.8902652413026098,0.06283185307179587,0.92,0.02,0.9656560405800492
2.9530970943744057,0.06283185307179587,0.9400000000000001,0.02,0.9558536451880669
3.0159289474462017,0.06283185307179587,0.9600000000000001,0.02,0.9365993843713541
3.0787608005179976,0.06283185307179587,0.9800000000000001,0.02,0.8919299078809143
3.141592653589793,0.06283185307179587,1.0,0.02,0.7539623787810356
0.0,0.12566370614359174,0.0,0.04,0.8914794925775602
0.06283185307179587,0.12566370614359174,0.02,0.04,0.7557023155700054
0.12566370614359174,0.12566370614359174,0.04,0.04,0.4359304823774781
0.1884955592153876,0.12566370614359174,0.060000000000000005,0.04,0.7492792665071598
0.25132741228718347,0.12566370614359174,0.08,0.04,0.8765601995508778
0.3141592653589793,0.12566370614359174,0.1,0.04,0.9223313799812317
0.3769911184307752,0.12566370614359174,0.12000000000000001,0.04,0.9436241935642173
0.4398229715025711,0.12566370614359174,0.14,0.04,0.9552149383638244
0.5026548245743669,0.12566370614359174,0.16,0.04,0.9622629126925698
0.5654866776461628,0.12566370614359174,0.18,0.04,0.9669091847457338
0.6283185307179586,0.12566370614359174,0.2,0.04,0.9701609326216692
0.6911503837897546,0.12566370614359174,0.22000000000000003,0.04,0.9725432601237135
0.7539822368615504,0.12566370614359174,0.24000000000000002,0.04,0.9743530658256421
0.8168140899333463,0.12566370614359174,0.26,0.04,0.9757691768643619
0.8796459430051422,0.12566370614359174,0.28,0.04,0.9769048438261004
0.942477796076938,0.12566370614359174,0.30000000000000004,0.04,0.9778348180298994
1.0053096491487339,0.12566370614359174,0.32,0.04,0.9786101847657682
1.0681415022205298,0.12566370614359174,0.3400000000000001,0.04,0.9792670527119072
1.1309733552923256,0.12566370614359174,0.36,0.04,0.9798321583984301
1.1938052083641215,0.12566370614359174,0.38000000000000006,0.04,0.9803275345185345
1.2566370614359172,0.12566370614359174,0.4,0.04,0.980776248936511
1.3194689145077132,0.12566370614359174,0.42000000000000004,0.04,0.9812103423373577
1.3823007675795091,0.12566370614359174,0.44000000000000006,0.04,0.9816897868085934
1.4451326206513049,0.12566370614359174,0.46,0.04,0.9823913349909299
1.5079644737231008,0.12566370614359174,0.48000000000000004,0.04,0.9840639526148335
1.5707963267948968,0.12566370614359174,0.5000000000000001,0.04,0.9875696595720747
1.6336281798666925,0.12566370614359174,0.52,0.04,0.9849689538509333
1.6964600329384885,0.12566370614359174,0.54,0.04,0.9838424173299486
1.7592918860102844,0.12566370614359174,0.56,0.04,0.9835023996172451
1.8221237390820801,0.12566370614359174,0.5800000000000001,0.04,0.9833842532598355
1.884955592153876,0.12566370614359174,0.6000000000000001,0.04,0.9833528131378603
1.9477874452256718,0.12566370614359174,0.62,0.04,0.9833556017443194
2.0106192982974678,0.12566370614359174,0.64,0.04,0.9833671587339194
2.0734511513692637,0.12566370614359174,0.66,0.04,0.983374949830007
2.1362830044410597,0.12566370614359174,0.6800000000000002,0.04,0.9833704601887149
2.199114857512855,0.12566370614359174,0.7,0.04,0.9833454846728132
2.261946710584651,0.12566370614359174,0.72,0.04,0.9832911573199881
2.324778563656447,0.12566370614359174,0.7400000000000001,0.04,0.9831972276698795
2.387610416728243,0.12566370614359174,0.7600000000000001,0.04,0.983050699034137
2.450442269800039,0.12566370614359174,0.7800000000000001,0.04,0.982833618545928
2.5132741228718345,0.12566370614359174,0.8,0.04,0.9825197595972182
2.5761059759436304,0.12566370614359174,0.8200000000000001,0.04,0.9820695138353928
2.6389378290154264,0.12566370614359174,0.8400000000000001,0.04,0.98142146777439
2.7017696820872223,0.12566370614359174,0.8600000000000001,0.04,0.9804776281533728
2.7646015351590183,0.12566370614359174,0.8800000000000001,0.04,0.9790759394079489
2.8274333882308142,0.12566370614359174,0.9000000000000001,0.04,0.9769362096932062
2.8902652413026098,0.12566370614359174,0.92,0.04,0.9735467592432075
2.9530970943744057,0.12566370614359174,0.9400000000000001,0.04,0.9679045866224266
3.0159289474462017,0.12566370614359174,0.9600000000000001,0.04,0.9578156308908806
3.0787608005179976,0.12566370614359174,0.9800000000000001,0.04,0.9379085522999957
3.141592653589793,0.12566370614359174,1.0,0.04,0.8914794925775602
0.0,0.1884955592153876,0.0,0.060000000000000005,0.9354092422214633
0.06283185307179587,0.1884955592153876,0.02,0.060000000000000005,0.8860628100553376
0.12566370614359174,0.1884955592153876,0.04,0.060000000000000005,0.7492792665071598
0.1884955592153876,0.1884955592153876,0.060000000000000005,0.060000000000000005,0.5125181277581021
0.25132741228718347,0.1884955592153876,0.08,0.060000000000000005,0.7371575023140278
0.3141592653589793,0.1884955592153876,0.1,0.060000000000000005,0.8644250455607129
0.3769911184307752,0.1884955592153876,0.12000000000000001,0.060000000000000005,0.9133961782671678
0.4398229715025711,0.1884955592153876,0.14,0.060000000000000005,0.9369315755140577
0.5026548245743669,0.1884955592153876,0.16,0.060000000000000005,0.9500534622468425
0.5654866776461628,0.1884955592153876,0.18,0.060000000000000005,0.9581678956734683
0.6283185307179586,0.1884955592153876,0.2,0.060000000000000005,0.9635899063835588
0.6911503837897546,0.1884955592153876,0.22000000000000003,0.060000000000000005,0.9674311927346818
0.7539822368615504,0.1884955592153876,0.24000000000000002,0.060000000000000005,0.9702779337204129
0.8168140899333463,0.1884955592153876,0.26,0.060000000000000005,0.9724641204786303
0.8796459430051422,0.1884955592153876,0.28,0.060000000000000005,0.9741923238253154
0.942477796076938,0.1884955592153876,0.30000000000000004,0.060000000000000005,0.9755918034646976
1.0053096491487339,0.1884955592153876,0.32,0.060000000000000005,0.9767485266907784
1.0681415022205298,0.1884955592153876,0.3400000000000001,0.060000000000000005,0.9777218569411782
1.1309733552923256,0.1884955592153876,0.36,0.060000000000000005,0.9785545267046666
1.1938052083641215,0.1884955592153876,0.38000000000000006,0.060000000000000005,0.9792799462235434
1.2566370614359172,0.1884955592153876,0.4,0.060000000000000005,0.979929494792331
1.3194689145077132,0.1884955592153876,0.42000000000000004,0.060000000000000005,0.9805414460122155
1.3823007675795091,0.1884955592153876,0.44000000000000006,0.060000000000000005,0.9811805690897994
1.4451326206513049,0.1884955592153876,0.46,0.060000000000000005,0.9820277867167951
1.5079644737231008,0.1884955592153876,0.48000000000000004,0.060000000000000005,0.9838369101404948
1.5707963267948968,0.1884955592153876,0.5000000000000001,0.060000000000000005,0.9874879420711233
1.6336281798666925,0.1884955592153876,0.52,0.060000000000000005,0.9850100688924479
1.6964600329384885,0.1884955592153876,0.54,0.060000000000000005,0.9839838972491441
1.7592918860102844,0.1884955592153876,0.56,0.060000000000000005,0.983744396432675
1.8221237390820801,0.1884955592153876,0.5800000000000001,0.060000000000000005,0.9837251936400451
1.884955592153876,0.1884955592153876,0.6000000000000001,0.060000000000000005,0.9837906984097607
1.9477874452256718,0.1884955592153876,0.62,0.060000000000000005,0.9838892292598472
2.0106192982974678,0.1884955592153876,0.64,0.060000000000000005,0.983996350079278
2.0734511513692637,0.1884955592153876,0.66,0.060000000000000005,0.9841005704795798
2.1362830044410597,0.1884955592153876,0.6800000000000002,0.060000000000000005,0.9841946017596116
2.199114857512855,0.1884955592153876,0.7,0.060000000000000005,0.9842717225535697
2.261946710584651,0.1884955592153876,0.72,0.060000000000000005,0.9843249436904411
2.324778563656447,0.1884955592153876,0.7400000000000001,0.060000000000000005,0.9843464115736285
2.387610416728243,0.1884955592153876,0.7600000000000001,0.060000000000000005,0.9843263952321536
2.450442269800039,0.1884955592153876,0.7800000000000001,0.060000000000000005,0.9842515808133727
2.5132741228718345,0.1884955592153876,0.8,0.060000000000000005,0.9841026941384333
2.5761059759436304,0.1884955592153876,0.8200000000000001,0.060000000000000005,0.9838509345550783
2.6389378290154264,0.1884955592153876,0.8400000000000001,0.060000000000000005,0.9834523640840948
2.7017696820872223,0.1884955592153876,0.8600000000000001,0.060000000000000005,0.9828384809709715
2.7646015351590183,0.1884955592153876,0.8800000000000001,0.060000000000000005,0.9818994823186596
2.8274333882308142,0.1884955592153876,0.9000000000000001,0.060000000000000005,0.9804530808244324
2.8902652413026098,0.1884955592153876,0.92,0.060000000000000005,0.9781837100786072
2.9530970943744057,0.1884955592153876,0.9400000000000001,0.060000000000000005,0.9745169163952626
3.0159289474462017,0.1884955592153876,0.9600000000000001,0.060000000000000005,0.9683193342136712
3.0787608005179976,0.1884955592153876,0.9800000000000001,0.060000000000000005,0.9573005062280211
3.141592653589793,0.1884955592153876,1.0,0.060000000000000005,0.9354092422214634
0.0,0.25132741228718347,0.0,0.08,0.9543353627609199
0.06283185307179587,0.25132741228718347,0.02,0.08,0.9299239172605619
0.12566370614359174,0.25132741228718347,0.04,0.08,0.8765601995508778
0.1884955592153876,0.25132741228718347,0.060000000000000005,0.08,0.7371575023140278
0.25132741228718347,0.25132741228718347,0.08,0.08,0.5593673806256335
0.3141592653589793,0.25132741228718347,0.1,0.08,0.7266507212874145
0.3769911184307752,0.25132741228718347,0.12000000000000001,0.08,0.8516775492556113
0.4398229715025711,0.25132741228718347,0.14,0.08,0.9038282656884
0.5026548245743669,0.25132741228718347,0.16,0.08,0.9298201425526087
0.5654866776461628,0.25132741228718347,0.18,0.08,0.9446522037215651
0.6283185307179586,0.25132741228718347,0.2,0.08,0.9539601286190997
0.6911503837897546,0.25132741228718347,0.22000000000000003,0.08,0.9602416537660822
0.7539822368615504,0.25132741228718347,0.24000000000000002,0.08,0.964726149199911
0.8168140899333463,0.25132741228718347,0.26,0.08,0.968071382863565
0.8796459430051422,0.25132741228718347,0.28,0.08,0.9706554276375511
0.942477796076938,0.25132741228718347,0.30000000000000004,0.08,0.9727090052928484
1.0053096491487339,0.25132741228718347,0.32,0.08,0.9743801124251512
1.0681415022205298,0.25132741228718347,0.3400000000000001,0.08,0.9757677965354186
1.1309733552923256,0.25132741228718347,0.36,0.08,0.9769412274586678
1.1938052083641215,0.25132741228718347,0.38000000000000006,0.08,0.9779520084048725
1.2566370614359172,0.25132741228718347,0.4,0.08,0.9788444245979694
1.3194689145077132,0.25132741228718347,0.42000000000000004,0.08,0.9796661511697397
1.3823007675795091,0.25132741228718347,0.44000000000000006,0.08,0.9804889259171072
1.4451326206513049,0.25132741228718347,0.46,0.08,0.9814989122704724
1.5079644737231008,0.25132741228718347,0.48000000000000004,0.08,0.9834537965725133
1.5707963267948968,0.25132741228718347,0.5000000000000001,0.08,0.9872492457079959
1.6336281798666925,0.25132741228718347,0.52,0.08,0.9849039402546279
1.6964600329384885,0.25132741228718347,0.54,0.08,0.9839830225098672
1.7592918860102844,0.25132741228718347,0.56,0.08,0.9838429731314651
1.8221237390820801,0.25132741228718347,0.5800000000000001,0.08,0.9839180682164133
1.884955592153876,0.25132741228718347,0.6000000000000001,0.08,0.9840729366268268
1.9477874452256718,0.25132741228718347,0.62,0.08,0.9842566806557658
2.0106192982974678,0.25132741228718347,0.64,0.08,0.9844458007963827
2.0734511513692637,0.25132741228718347,0.66,0.08,0.9846296671383175
2.1362830044410597,0.25132741228718347,0.6800000000000002,0.08,0.9848018705904341
2.199114857512855,0.25132741228718347,0.7,0.08,0.984956690831859
2.261946710584651,0.25132741228718347,0.72,0.08,0.9850882706022789
2.324778563656447,0.25132741228718347,0.7400000000000001,0.08,0.9851901335381464
2.387610416728243,0.25132741228718347,0.7600000000000001,0.08,0.9852543330023339
2.450442269800039,0.25132741228718347,0.7800000000000001,0.08,0.9852700896084544
2.5132741228718345,0.25132741228718347,0.8,0.08,0.9852219688301834
2.5761059759436304,0.25132741228718347,0.8200000000000001,0.08,0.9850872086671176
2.6389378290154264,0.25132741228718347,0.8400000000000001,0.08,0.9848317039147446
2.7017696820872223,0.25132741228718347,0.8600000000000001,0.08,0.9844035438507751
2.7646015351590183,0.25132741228718347,0.8800000000000001,0.08,0.9837219307561854
2.8274333882308142,0.25132741228718347,0.9000000000000001,0.08,0.9826575721492877
2.8902652413026098,0.25132741228718347,0.92,0.08,0.9809965559525979
2.9530970943744057,0.25132741228718347,0.9400000000000001,0.08,0.9783705817059184
