method,formula,n_samples,n_train,n_test,feature_space,k_neighbors,mutual_information,epsilon_lb,epsilon_lb_normalized,S_cov,S_cov_raw,sidl_error,sidl_bandwidth,sidl_n_retained,gpr_mse_raw,gpr_mse_normalized,gpr_rmse_normalized,error_scale_var_y_train,rank_by_MI,rank_by_S_cov,rank_by_gpr
MI-DL,"pi1: u^0.9987 * rho^0.9987 * D^1.0000 * k_s^-0.0013 * mu^-0.9987
pi2: u^0.2506 * rho^0.2506 * D^-0.7494 * k_s^1.0000 * mu^-0.2506",2000,1500,500,log_pi,6,2.3496936282015897,6.0052264819696764e-05,0.005046734144344628,0.9835833744199399,0.9835833744199399,0.016416625580060074,0.06,2000,5.417487650311924e-08,4.606023604085546e-06,0.0021461648594843655,0.011761745305661502,3,4,4
SI-DL,"pi1: u^1.0000 * rho^1.0000 * D^0.2342 * k_s^0.7658 * mu^-1.0000
pi2: u^0.6037 * rho^0.6037 * D^1.0000 * k_s^-0.3963 * mu^-0.6037",2000,1500,500,log_pi,6,2.494735483405143,4.493116055198706e-05,0.0037759711941516834,0.9879446155357061,0.9879446155357061,0.012055384464293883,0.06,2000,1.1041145372513332e-08,9.387335880499546e-07,0.000968882649266646,0.011761745305661502,2,2,1
"Known [Re, k_s/D]","pi1: u^1.0000 * rho^1.0000 * D^1.0000 * mu^-1.0000
pi2: D^-1.0000 * k_s^1.0000",2000,1500,500,log_pi,6,2.3494666303748666,6.007953447658897e-05,0.005049025859885344,0.9873865612049454,0.9873865612049454,0.01261343879505461,0.06,2000,5.3388975346760966e-08,4.539205191007005e-06,0.002130541055930865,0.011761745305661502,4,3,3
Joint MI-DL,"pi1: u^0.6077 * rho^0.6077 * D^1.0000 * k_s^-0.3923 * mu^-0.6077
pi2: u^1.0000 * rho^1.0000 * D^0.2504 * k_s^0.7496 * mu^-1.0000",2000,1500,500,log_pi,6,2.4955141763174282,4.486123986034133e-05,0.00377009512697946,0.9879525177424486,0.9879525177424486,0.012047482257551367,0.06,2000,1.1169124786799808e-08,9.496145764543604e-07,0.0009744816963157185,0.011761745305661502,1,1,2
