basis_direction_1_coef,basis_direction_2_coef,S_cov
-1.15,-1.15,0.6788822110436632
-1.1116666666666666,-1.15,0.6755320202734992
-1.0733333333333333,-1.15,0.6720040568693554
-1.035,-1.15,0.6682989242434657
-0.9966666666666666,-1.15,0.6644195637654791
-0.9583333333333333,-1.15,0.6603673262233593
-0.9199999999999999,-1.15,0.6561345343344301
-0.8816666666666666,-1.15,0.6517002052884768
-0.8433333333333333,-1.15,0.6470378554274225
-0.8049999999999999,-1.15,0.6421519172446529
-0.7666666666666666,-1.15,0.6370637754680638
-0.7283333333333333,-1.15,0.6317152161699803
-0.69,-1.15,0.6261008848176933
-0.6516666666666666,-1.15,0.6203502637237589
-0.6133333333333333,-1.15,0.614283418158339
-0.575,-1.15,0.6079371962964609
-0.5366666666666666,-1.15,0.6017756095955651
-0.4983333333333333,-1.15,0.5959115728095025
-0.45999999999999996,-1.15,0.5899165280208297
-0.42166666666666663,-1.15,0.5839473333634527
-0.3833333333333333,-1.15,0.5784936736711646
-0.345,-1.15,0.5722583313995047
-0.30666666666666664,-1.15,0.5620681066377211
-0.2683333333333333,-1.15,0.5442434445224011
-0.22999999999999998,-1.15,0.5192679273037094
-0.19166666666666665,-1.15,0.4863449782711887
-0.15333333333333332,-1.15,0.4443006279917631
-0.11499999999999999,-1.15,0.39409856456714487
-0.07666666666666666,-1.15,0.33487083159617004
-0.03833333333333333,-1.15,0.26551572110388794
0.0,-1.15,0.19272366742584887
0.03833333333333333,-1.15,0.17071363978564358
0.07666666666666666,-1.15,0.15517422404318476
0.11499999999999999,-1.15,0.1420891908127562
0.15333333333333332,-1.15,0.1337496254261602
0.19166666666666665,-1.15,0.13064189942270338
0.22999999999999998,-1.15,0.13353549128010858
0.2683333333333333,-1.15,0.141465071877345
0.30666666666666664,-1.15,0.15570006537369033
0.345,-1.15,0.1755323504817671
0.3833333333333333,-1.15,0.19697422269660864
0.42166666666666663,-1.15,0.21863968689265031
0.45999999999999996,-1.15,0.24056295372611253
0.4983333333333333,-1.15,0.26226668628166805
0.5366666666666666,-1.15,0.2830112511599899
