num_input,seed,iteration,evaluations,elapsed_seconds,convergence,S_cov,S_cov_raw,sidl_error,nrmse_var,corr_Y_mhat,formula
1,0,1,80,17.891789197921753,4.992370356834947e-07,0.747620781882949,0.747620781882949,0.252379218117051,0.48782221601484455,0.8731055264744629,pi1: u^0.1550 * rho^0.1550 * D^1.0000 * k_s^-0.8450 * mu^-0.1550
1,0,2,120,26.952824115753174,1.258073548030775e-06,0.747620781882949,0.747620781882949,0.252379218117051,0.48782221601484455,0.8731055264744629,pi1: u^0.1550 * rho^0.1550 * D^1.0000 * k_s^-0.8450 * mu^-0.1550
1,0,3,160,36.03643298149109,2.184861379820229e-06,0.7476657715954763,0.7476657715954763,0.2523342284045237,0.4877237660825256,0.8731616749991041,pi1: u^0.1479 * rho^0.1479 * D^1.0000 * k_s^-0.8521 * mu^-0.1479
1,0,4,200,45.55207014083862,2.6498811879021484e-06,0.7476657715954763,0.7476657715954763,0.2523342284045237,0.4877237660825256,0.8731616749991041,pi1: u^0.1479 * rho^0.1479 * D^1.0000 * k_s^-0.8521 * mu^-0.1479
1,0,5,240,54.96773624420166,8.828403468910941e-06,0.7476657715954763,0.7476657715954763,0.2523342284045237,0.4877237660825256,0.8731616749991041,pi1: u^0.1479 * rho^0.1479 * D^1.0000 * k_s^-0.8521 * mu^-0.1479
1,0,6,280,64.10238695144653,1.7681236390796798e-05,0.7476729680532848,0.7476729680532848,0.25232703194671524,0.4876986951413938,0.873176070753999,pi1: u^0.1447 * rho^0.1447 * D^1.0000 * k_s^-0.8553 * mu^-0.1447
1,0,7,320,73.28960108757019,2.1164009423522935e-05,0.7476729680532848,0.7476729680532848,0.25232703194671524,0.4876986951413938,0.873176070753999,pi1: u^0.1447 * rho^0.1447 * D^1.0000 * k_s^-0.8553 * mu^-0.1447
1,0,8,360,82.39641404151917,2.1171680530531996e-05,0.7476729680532848,0.7476729680532848,0.25232703194671524,0.4876986951413938,0.873176070753999,pi1: u^0.1447 * rho^0.1447 * D^1.0000 * k_s^-0.8553 * mu^-0.1447
1,0,9,400,91.50788903236389,2.1115934713562153e-05,0.7476729680532848,0.7476729680532848,0.25232703194671524,0.4876986951413938,0.873176070753999,pi1: u^0.1447 * rho^0.1447 * D^1.0000 * k_s^-0.8553 * mu^-0.1447
1,0,10,440,100.68536615371704,2.3882583741620873e-05,0.7476729680532848,0.7476729680532848,0.25232703194671524,0.4876986951413938,0.873176070753999,pi1: u^0.1447 * rho^0.1447 * D^1.0000 * k_s^-0.8553 * mu^-0.1447
1,0,11,480,109.89522314071655,3.0094704429375583e-05,0.7476729680532848,0.7476729680532848,0.25232703194671524,0.4876986951413938,0.873176070753999,pi1: u^0.1447 * rho^0.1447 * D^1.0000 * k_s^-0.8553 * mu^-0.1447
1,0,12,520,119.24202513694763,3.2421205130712614e-05,0.7476729680532848,0.7476729680532848,0.25232703194671524,0.4876986951413938,0.873176070753999,pi1: u^0.1447 * rho^0.1447 * D^1.0000 * k_s^-0.8553 * mu^-0.1447
1,0,13,560,128.566162109375,3.2411262865113525e-05,0.7476729680532848,0.7476729680532848,0.25232703194671524,0.4876986951413938,0.873176070753999,pi1: u^0.1447 * rho^0.1447 * D^1.0000 * k_s^-0.8553 * mu^-0.1447
1,0,14,600,137.90457820892334,0.0002797735685704507,0.7476732286046153,0.7476732286046153,0.25232677139538473,0.4876851843351029,0.8731839125888715,pi1: u^0.1418 * rho^0.1418 * D^1.0000 * k_s^-0.8582 * mu^-0.1418
1,0,15,640,147.12809300422668,0.0002798005889197198,0.7476734919435907,0.7476734919435907,0.2523265080564093,0.4876953301453387,0.8731780131704581,pi1: u^0.1442 * rho^0.1442 * D^1.0000 * k_s^-0.8558 * mu^-0.1442
1,0,16,680,156.39860892295837,0.004059345569587417,0.7476737224433906,0.7476737224433906,0.2523262775566094,0.487693158074423,0.8731792694804683,pi1: u^0.1438 * rho^0.1438 * D^1.0000 * k_s^-0.8562 * mu^-0.1438
1,0,17,720,165.72374987602234,0.006343294011263923,0.7476737224433906,0.7476737224433906,0.2523262775566094,0.487693158074423,0.8731792694804683,pi1: u^0.1438 * rho^0.1438 * D^1.0000 * k_s^-0.8562 * mu^-0.1438
1,0,18,760,175.05041909217834,0.008391782847373113,0.7476738501972574,0.7476738501972574,0.2523261498027426,0.4876905043042645,0.8731808079770662,pi1: u^0.1432 * rho^0.1432 * D^1.0000 * k_s^-0.8568 * mu^-0.1432
1,0,19,800,184.32285714149475,0.010817049217487926,0.7476738501972574,0.7476738501972574,0.2523261498027426,0.4876905043042645,0.8731808079770662,pi1: u^0.1432 * rho^0.1432 * D^1.0000 * k_s^-0.8568 * mu^-0.1432
