Cf,Re,relative_roughness,MI-DL_pi1,MI-DL_log_pi1,MI-DL_pi2,MI-DL_log_pi2,SI-DL_pi1,SI-DL_log_pi1,SI-DL_pi2,SI-DL_log_pi2,Known_Re_k_s/D_pi1,Known_Re_k_s/D_log_pi1,Known_Re_k_s/D_pi2,Known_Re_k_s/D_log_pi2
0.4100023108625485,2154.525837429171,9.468853992477685e-07,2171.823848750411,7.683322576821325,6.479174830984207e-06,-11.94691739660613,0.0525562849769187,-2.9458705888693153,25088.9735937085,10.130183729544338,2154.525837429171,7.675325949292721,9.468853992477685e-07,-13.870087765605073
0.2843489494243654,31148.802607417252,7.3826480012190844e-06,31207.959839439398,10.348428464318175,9.865353581625365e-05,-9.22389648410802,3.6619245664806743,1.2979888470452563,55770.56568011765,10.92900151242195,31148.802607417252,10.34653108390751,7.3826480012190844e-06,-11.816378175954737
0.45479526285456057,1269.5899113144658,0.001716753654914747,1268.31365844409,7.145443469111108,0.010289122914090894,-4.5766679694948955,9.685138682022492,2.2705926160153442,932.3388040142023,6.837696272247277,1269.5899113144658,7.146449222830962,0.001716753654914747,-6.367320181492551
0.4831504846495637,1111.862732082555,0.007477069070363786,1108.8271584872339,7.011058121720843,0.0433477067371032,-3.138501478259785,26.17181726424826,3.2646831548743087,480.35254878538234,6.174520310942185,1111.862732082555,7.013792024819088,0.007477069070363786,-4.895914399296208
0.28682914503875584,28727.415616250888,2.3426632142305248e-08,28999.545179419896,10.275035425377345,3.067639237470403e-07,-14.997187363197144,0.041238665399473226,-3.1883789821544806,519150.08536206384,13.159948302158176,28727.415616250888,10.265607193741726,2.3426632142305248e-08,-17.569392336017316
0.4001113646455399,2544.4145662259675,0.00017862351130263238,2547.0059626656116,7.842673816031138,0.0012742680034994898,-6.665383380141174,3.431326850035152,1.2329470231207473,3477.7882758461415,8.154151817801376,2544.4145662259675,7.841655869605888,0.00017862351130263238,-8.63023025595397
0.2794352568812281,35993.15391088619,2.3162425483107358e-08,36324.06840271602,10.500235841935245,3.2093320554052463e-07,-14.95203281789682,0.051221929728789986,-2.9715875236219382,597534.8693457455,13.300567919822647,35993.15391088619,10.491084030211752,2.3162425483107358e-08,-17.580734462475245
0.4684289298567599,1001.1149904371442,1.9147789462528612e-05,1006.2384303400971,6.913974330868012,0.00010812741391273852,-9.132200267756916,0.24417779457871605,-1.4098586527311223,4797.925814270835,8.475938981477444,1001.1149904371442,6.908869648279111,1.9147789462528612e-05,-10.863323281766624
0.3359633967625686,11727.745884202152,0.00117318907950563,11688.123341301729,9.366328506189856,0.012273600584270806,-4.400304617155378,66.84143100489544,4.202323112906983,4149.707615033027,8.33079315653382,11727.745884202152,9.369712756446443,0.00117318907950563,-6.748029529201582
0.3247562663835244,10572.115266889185,3.2689887822076535e-08,10681.448139248245,9.27626369688478,3.332182443184546e-07,-14.91446817329541,0.01958747878152529,-3.9328647545666833,248802.02039784205,12.424412760384294,10572.115266889185,9.26597517870004,3.2689887822076535e-08,-17.236200047783125
0.2753425070073342,40986.56041820239,6.789060398070541e-08,41299.07773653975,10.628595447865399,9.718015312245356e-07,-13.844114239317756,0.13289490845232477,-2.018196625115527,422039.76281491946,12.952854813259187,40986.56041820239,10.620999497272036,6.789060398070541e-08,-16.505368192211897
0.28880381704781966,27100.61940913032,5.536901242737842e-08,27329.03610452362,10.215705009530438,7.145252101967635e-07,-14.151647556508582,0.0751697723336889,-2.5880060924831394,356430.8987762251,12.78389566772382,27100.61940913032,10.20731186303206,5.536901242737842e-08,-16.70924574214962
0.4449341566534738,1331.6925886925544,1.5637118441773885e-05,1338.3647852106926,7.199203838216707,9.484707781577674e-05,-9.263244670536738,0.27814305798880185,-1.2796197005691514,6176.238880533201,8.728464769799416,1331.6925886925544,7.194206035194538,1.5637118441773885e-05,-11.065863082675241
