Cf,Re,relative_roughness,Joint MI-DL_log_pi1,Joint MI-DL_log_pi2,Joint MI-DL_pi1,Joint MI-DL_pi2,MI-DL_log_pi1,MI-DL_log_pi2,MI-DL_pi1,MI-DL_pi2,SI-DL_log_pi1,SI-DL_log_pi2,SI-DL_pi1,SI-DL_pi2,"Known [Re, k_s/D]_log_pi1","Known [Re, k_s/D]_log_pi2","Known [Re, k_s/D]_pi1","Known [Re, k_s/D]_pi2"
0.4100023108625485,2154.525837429171,9.468853992477684e-07,8.07093481205509,7.676837343547543,3200.0919157753224,2157.7846374471965,7.683322576821325,-11.94691739660613,2171.823848750411,6.479174830984207e-06,-2.9458705888693153,10.130183729544338,0.0525562849769187,25088.9735937085,7.675325949292721,-13.870087765605073,2154.52583742917,9.468853992477687e-07
0.2843489494243654,31148.802607417252,7.3826480012190844e-06,10.440398217747607,10.34688969631525,34214.27445675474,31159.974957670478,10.348428464318175,-9.22389648410802,31207.959839439398,9.865353581625365e-05,1.2979888470452563,10.92900151242195,3.6619245664806743,55770.56568011765,10.34653108390751,-11.816378175954735,31148.802607417267,7.3826480012191e-06
0.4547952628545605,1269.5899113144658,0.0017167536549147,7.096692611821716,7.14625913139695,1207.9652503587806,1269.348596084322,7.145443469111108,-4.5766679694948955,1268.31365844409,0.010289122914090894,2.270592616015344,6.837696272247277,9.685138682022487,932.3388040142023,7.146449222830962,-6.367320181492551,1269.5899113144656,0.0017167536549147471
0.4831504846495637,1111.862732082555,0.0074770690703637,6.87854047136999,7.013275306312227,971.207819225568,1111.288360438808,7.011058121720843,-3.138501478259785,1108.8271584872339,0.0433477067371032,3.2646831548743087,6.174520310942185,26.17181726424826,480.35254878538234,7.013792024819088,-4.895914399296208,1111.8627320825547,0.007477069070363786
0.2868291450387558,28727.415616250888,2.3426632142305248e-08,10.732040322193535,10.267389166839301,45800.04360580043,28778.652736068165,10.275035425377345,-14.997187363197144,28999.545179419896,3.067639237470403e-07,-3.188378982154481,13.159948302158176,0.041238665399473205,519150.08536206384,10.265607193741726,-17.569392336017316,28727.415616250903,2.342663214230528e-08
0.4001113646455399,2544.4145662259675,0.0001786235113026,7.892015677688429,7.8418482655094275,2675.8321035015356,2544.904148260693,7.842673816031138,-6.665383380141174,2547.0059626656116,0.0012742680034994898,1.232947023120747,8.154151817801376,3.431326850035151,3477.7882758461415,7.841655869605888,-8.63023025595397,2544.4145662259666,0.00017862351130263227
0.2794352568812281,35993.15391088619,2.316242548310736e-08,10.943842122945036,10.492813758851822,56604.40697702153,36055.4661761709,10.500235841935243,-14.95203281789682,36324.06840271595,3.2093320554052463e-07,-2.9715875236219382,13.300567919822647,0.051221929728789986,597534.8693457455,10.491084030211752,-17.580734462475245,35993.15391088617,2.316242548310738e-08
0.4684289298567599,1001.1149904371442,1.9147789462528612e-05,7.161408317428716,6.90983445349352,1288.7245888037414,1002.0813374935201,6.913974330868012,-9.132200267756916,1006.2384303400971,0.00010812741391273852,-1.4098586527311223,8.475938981477444,0.24417779457871605,4797.925814270835,6.908869648279111,-10.863323281766624,1001.1149904371445,1.914778946252861e-05
0.3359633967625686,11727.745884202152,0.0011731890795056,9.202287252317692,9.369073119752533,9919.792198401152,11720.246786202562,9.366328506189856,-4.400304617155378,11688.123341301729,0.012273600584270806,4.202323112906983,8.33079315653382,66.84143100489544,4149.707615033027,9.369712756446445,-6.748029529201582,11727.745884202162,0.0011731890795056296
0.3247562663835244,10572.115266889185,3.2689887822076535e-08,9.774968371645002,9.267919749360548,17587.93389288781,10592.693493480041,9.27626369688478,-14.91446817329541,10681.448139248245,3.332182443184546e-07,-3.9328647545666833,12.424412760384294,0.01958747878152529,248802.02039784205,9.26597517870004,-17.236200047783125,10572.115266889175,3.2689887822076555e-08
0.2753425070073342,40986.56041820239,6.789060398070541e-08,10.996786085442336,10.622435162000162,59682.02023589378,41045.4456369236,10.6285954478654,-13.844114239317756,41299.077736539824,9.718015312245356e-07,-2.018196625115527,12.952854813259188,0.13289490845232477,422039.7628149202,10.620999497272036,-16.505368192211897,40986.56041820242,6.78906039807055e-08
0.2888038170478196,27100.61940913032,5.536901242737842e-08,10.622537297672752,10.208898200941665,41049.63805521456,27143.64426603098,10.215705009530438,-14.151647556508582,27329.03610452362,7.145252101967635e-07,-2.5880060924831394,12.78389566772382,0.0751697723336889,356430.8987762251,10.20731186303206,-16.70924574214962,27100.619409130308,5.5369012427378515e-08
0.4449341566534738,1331.6925886925544,1.5637118441773885e-05,7.441457162352733,7.195150639747828,1705.2332132911067,1332.9511058823703,7.199203838216707,-9.263244670536738,1338.3647852106926,9.484707781577674e-05,-1.2796197005691514,8.728464769799416,0.27814305798880185,6176.238880533201,7.194206035194538,-11.06586308267524,1331.692588692554,1.563711844177391e-05
0.4601863880686407,1335.455249720476,0.0043383938986528,7.084836553992569,7.196598906469061,1193.728109449133,1334.8829732019549,7.194759755028234,-3.636925689530105,1332.4301774812236,0.02633317600933545,3.031085909291882,6.500852839951397,20.71972011407079,665.7091343618608,7.197027523729878,-5.4402510687972345,1335.4552497204756,0.004338393898652885
0.2515522321108198,96971.74008645704,9.740498013865312e-06,11.485817774216981,11.482188793146006,97325.64251630331,96973.08969256519,11.482248511339275,-8.66218368864697,96978.8809231965,0.0001730061026514123,2.645871339129245,11.504780025789668,14.095721887753298,99188.76450197728,11.482174875723102,-11.539218310829972,96971.7400864571,9.740498013865312e-06
