seed,search_objective,full_mutual_information,formula
42,-1.7217169185484371,2.139472910155007,"pi1: u^0.9361 * rho^0.9361 * D^1.0000 * k_s^-0.0639 * mu^-0.9361
pi2: u^0.9998 * rho^0.9998 * D^1.0000 * k_s^-0.0002 * mu^-0.9998"
0,-1.6173220813591804,2.08801121833827,"pi1: u^0.9591 * rho^0.9591 * D^1.0000 * k_s^-0.0409 * mu^-0.9591
pi2: u^0.8326 * rho^0.8326 * D^1.0000 * k_s^-0.1674 * mu^-0.8326"
