method,formula,n_samples,n_train,n_test,feature_space,k_neighbors,mutual_information,epsilon_lb,epsilon_lb_normalized,S_cov,S_cov_raw,sidl_error,sidl_bandwidth,sidl_n_retained,gpr_mse_raw,gpr_mse_normalized,gpr_rmse_normalized,error_scale_var_y_train,rank_by_MI,rank_by_S_cov,rank_by_gpr
MI-DL,"pi1: u^0.9987 * rho^0.9987 * D^1.0000 * k_s^-0.0013 * mu^-0.9987
pi2: u^0.2506 * rho^0.2506 * D^-0.7494 * k_s^1.0000 * mu^-0.2506",5000,3750,1250,log_pi,6,2.79784684270931,2.4566326049239272e-05,0.0021204533160568634,0.982075885522099,0.982075885522099,0.017924114477900988,0.06,5000,3.49817815391619e-08,2.9951416559967997e-06,0.0017306477561874916,0.011679508202599444,4,4,4
SI-DL,"pi1: u^1.0000 * rho^1.0000 * D^0.2342 * k_s^0.7658 * mu^-1.0000
pi2: u^0.6037 * rho^0.6037 * D^1.0000 * k_s^-0.3963 * mu^-0.6037",5000,3750,1250,log_pi,6,2.941246438048739,1.844101859102763e-05,0.0015917446892316927,0.986615909678727,0.986615909678727,0.013384090321272968,0.06,5000,8.518270265111911e-09,7.293346703773063e-07,0.0008540109310642963,0.011679508202599444,2,3,1
"Known [Re, k_s/D]","pi1: u^1.0000 * rho^1.0000 * D^1.0000 * mu^-1.0000
pi2: D^-1.0000 * k_s^1.0000",5000,3750,1250,log_pi,6,2.7987927859518393,2.4519893285607644e-05,0.002116445451493842,0.9872758109040358,0.9872758109040358,0.012724189095964178,0.06,5000,3.4542739997686154e-08,2.957550900131066e-06,0.0017197531509292449,0.011679508202599444,3,1,3
Joint MI-DL,"pi1: u^0.6206 * rho^0.6206 * D^1.0000 * k_s^-0.3794 * mu^-0.6206
pi2: u^1.0000 * rho^1.0000 * D^0.2766 * k_s^0.7234 * mu^-1.0000",5000,3750,1250,log_pi,6,2.9438513738735965,1.8345193087113763e-05,0.001583473468409755,0.9866897844243874,0.9866897844243874,0.013310215575612627,0.06,5000,9.049175625783159e-09,7.747908104357624e-07,0.0008802220233757858,0.011679508202599444,1,2,2
