seed,search_objective,full_mutual_information,formula
0,-1.6195283714091753,2.4955141763174282,"pi1: u^0.6077 * rho^0.6077 * D^1.0000 * k_s^-0.3923 * mu^-0.6077
pi2: u^1.0000 * rho^1.0000 * D^0.2504 * k_s^0.7496 * mu^-1.0000"
42,-1.6141979062412402,2.4948136168232304,"pi1: u^0.6435 * rho^0.6435 * D^1.0000 * k_s^-0.3565 * mu^-0.6435
pi2: u^1.0000 * rho^1.0000 * D^0.3977 * k_s^0.6023 * mu^-1.0000"
