method,formula,n_samples,n_train,n_test,feature_space,k_neighbors,mutual_information,epsilon_lb,epsilon_lb_normalized,S_cov,S_cov_raw,sidl_error,sidl_bandwidth,sidl_n_retained,gpr_mse_raw,gpr_mse_normalized,gpr_rmse_normalized,error_scale_var_y_train,rank_by_MI,rank_by_S_cov,rank_by_gpr
MI-DL,"pi1: u^0.9987 * rho^0.9987 * D^1.0000 * k_s^-0.0013 * mu^-0.9987
pi2: u^0.2506 * rho^0.2506 * D^-0.7494 * k_s^1.0000 * mu^-0.2506",1000,750,250,log_pi,6,2.007331802024021,0.00010430673518371225,0.008612885692636145,0.9818947707259152,0.9818947707259152,0.018105229274084755,0.06,1000,1.6387769828163003e-07,1.3913217980394198e-05,0.0037300426244741757,0.011778561833255125,3,3,3
SI-DL,"pi1: u^1.0000 * rho^1.0000 * D^0.2342 * k_s^0.7658 * mu^-1.0000
pi2: u^0.6037 * rho^0.6037 * D^1.0000 * k_s^-0.3963 * mu^-0.6037",1000,750,250,log_pi,6,2.1401386409997203,7.997565349777802e-05,0.006603803297620606,0.9871771876135496,0.9871771876135496,0.012822812386450444,0.06,1000,1.915900787929981e-08,1.6265999321926574e-06,0.0012753822690443274,0.011778561833255125,1,1,1
"Known [Re, k_s/D]","pi1: u^1.0000 * rho^1.0000 * D^1.0000 * mu^-1.0000
pi2: D^-1.0000 * k_s^1.0000",1000,750,250,log_pi,6,2.0067977757591073,0.00010441819977052426,0.008622089621253966,0.9860119118312817,0.9860119118312817,0.013988088168718327,0.06,1000,1.6085234261190424e-07,1.36563652582576e-05,0.0036954519694155953,0.011778561833255125,4,2,2
Joint MI-DL,"pi1: u^0.9361 * rho^0.9361 * D^1.0000 * k_s^-0.0639 * mu^-0.9361
pi2: u^0.9998 * rho^0.9998 * D^1.0000 * k_s^-0.0002 * mu^-0.9998",1000,750,250,log_pi,6,2.139472910155007,8.008220893799871e-05,0.006612601864893687,0.7698481155194338,0.7698481155194338,0.23015188448056623,0.06,1000,8.95546183199418e-05,0.007603187858393445,0.08719626057574628,0.011778561833255125,2,4,4
