seed,search_objective,full_mutual_information,formula
42,-1.6341964329981469,1.807284508356923,"pi1: u^0.6025 * rho^0.6025 * D^1.0000 * k_s^-0.3975 * mu^-0.6025
pi2: u^1.0000 * rho^1.0000 * D^0.1175 * k_s^0.8825 * mu^-1.0000"
0,-1.6358367369318252,1.8045934979711262,"pi1: u^0.6329 * rho^0.6329 * D^1.0000 * k_s^-0.3671 * mu^-0.6329
pi2: u^1.0000 * rho^1.0000 * D^0.1511 * k_s^0.8489 * mu^-1.0000"
