Cf,Re,relative_roughness,SI-DL 1D DE best_log_pi1,SI-DL 1D DE best_pi1,SI-DL 2D DE best_log_pi1,SI-DL 2D DE best_pi1,SI-DL 2D DE best_log_pi2,SI-DL 2D DE best_pi2
0.4142728155016403,17042.20988521891,0.01257371702089387,5.14456507823752,171.49688072317392,9.183980038789661,9739.840675874108,4.3936024555174376,80.93144639468025
0.3129541289811149,14075.135720872524,7.211799559087837e-07,13.485211983122944,718709.1129340236,10.03063245813272,22711.631159658777,14.127448575752474,1366070.018364134
0.3236424504278426,10941.75933954286,2.47449089126859e-05,10.419836595739389,33517.956721404335,9.43653188737329,12538.157673104108,10.602641553867949,40240.99591587973
0.46593248417557,1029.8621167344888,1.9811239184350144e-07,14.217908585872145,1495406.4277278122,7.822903412745386,2497.1451360144247,15.406796061909846,4910056.770431384
0.4393883380003854,12606.217187752769,0.017379683413463666,4.824048745893659,124.46801134385635,8.88016393654186,7187.969009999702,4.069981404120091,58.55587368377278
0.25392979962337464,86432.45816235682,2.2954301851229454e-07,14.725954084448446,2485424.6406124034,11.775731325486188,130057.42016362645,15.274426336572786,4301293.444904527
0.3500246492393549,6253.445839322326,0.00012313416803580018,8.964819678806373,7822.970954203794,8.768129918041668,6426.143804988095,9.001386028153622,8114.322816939472
0.4622395628641637,1075.6594782917691,1.4247236068106033e-06,12.533692246830766,277532.20148695196,7.656229275926636,2113.7719317789206,13.440455335203739,687251.3258276542
0.38759513720498234,3072.5915056521194,2.190308348976058e-05,10.342532752564361,31024.508024701205,8.311569758792288,4070.6979848911233,10.720106562471239,45256.72525349712
0.2572452862575167,78144.89160001137,1.0949131900632823e-05,11.399926352263357,89315.14526028106,11.282573598593666,79425.40820233776,11.421743257072555,91285.13670166687
0.3340311695030443,61947.333535967606,0.0032349954132359074,6.492555547806046,660.208403334547,10.481554182033147,35651.773852328326,5.750965761750358,314.49424017704575
0.33292335291388175,8862.857642136905,3.6544588409249494e-05,10.055578132819292,23285.313823439294,9.207135779441348,9968.005366913329,10.213310997885579,27263.68832672769
0.4271018161059035,1715.1965672622061,0.000289178604547243,8.048080038138908,3127.783976749502,7.520371797851667,1845.2532277169012,8.1461856222463,3450.19359259349
0.43895798793059526,1437.5251226974358,4.1427894344641465e-08,15.606495854152397,5995356.759328191,8.284756336138075,3962.9989813016296,16.967671362243735,23386543.76733505
0.2523765764857285,92379.38709085742,3.297037310461602e-06,12.452285912567726,255834.46995023353,11.557578256992905,104566.47337350539,12.618619902553831,302132.18599203625
0.4443226572863248,1345.5873451097875,6.881307483697966e-05,9.24344738657533,10336.611501563464,7.452619715108737,1724.3746036303564,9.576377936701437,14420.09410324426
0.6891108069070617,9527.226721901765,0.12858664167984124,3.0691753548832614,21.524145572816316,8.420708994966102,4540.121237464166,2.074278376687677,7.958801129868904
0.34640095971911306,6576.782357235755,2.9982399571541976e-06,12.1553865874588,190115.40993707976,9.200552367485022,9902.597421164794,12.70471615057733,329297.26096409076
0.2813809656075314,33900.52050166929,5.931930838448166e-07,13.778456850176699,963624.3798257348,10.838391579420477,50939.38010915705,14.325040736273296,1664508.9887838052
0.4439793747231251,1396.461301700731,0.0007324310201127503,7.222370555560796,1369.7322415012443,7.239345591773136,1393.1819627482555,7.219214747643245,1365.416443145697
0.32745761151977104,9930.267280126673,3.310935829482836e-08,16.07523820618377,9580479.550749987,10.039330095840063,22910.030250212636,17.197366392890675,29425329.025717832
0.2675134249296317,53111.97594705696,4.885873180003786e-08,15.981893600274777,8726662.918536725,11.500799724024857,98794.74796014278,16.81496820212345,20074646.368466206
