theta1_over_pi,theta2_over_pi,delta_over_pi,S_cov
0.0,-0.075,-0.075,
0.008333333333333333,-0.06666666666666667,-0.075,
0.016666666666666666,-0.058333333333333334,-0.075,
0.025,-0.049999999999999996,-0.075,
0.03333333333333333,-0.041666666666666664,-0.075,
0.041666666666666664,-0.03333333333333333,-0.075,
0.05,-0.024999999999999994,-0.075,
0.058333333333333334,-0.016666666666666663,-0.075,
0.06666666666666667,-0.008333333333333331,-0.075,
0.075,0.0,-0.075,0.9507979803536485
0.08333333333333333,0.008333333333333331,-0.075,0.9487107517812652
0.09166666666666666,0.016666666666666663,-0.075,0.9467153086400729
0.1,0.02500000000000001,-0.075,0.9443714647474526
0.10833333333333334,0.03333333333333334,-0.075,0.9417632892785956
0.11666666666666667,0.04166666666666667,-0.075,0.9389597626646303
0.125,0.05,-0.075,0.9360181425522301
0.13333333333333333,0.058333333333333334,-0.075,0.9329759358096952
0.14166666666666666,0.06666666666666667,-0.075,0.9298509839707285
0.15,0.075,-0.075,0.9266536905621334
0.15833333333333333,0.08333333333333333,-0.075,0.9234093120478661
0.16666666666666666,0.09166666666666666,-0.075,0.9201510213600916
0.175,0.09999999999999999,-0.075,0.9168971756545086
0.18333333333333332,0.10833333333333332,-0.075,0.9136643014315518
0.19166666666666665,0.11666666666666665,-0.075,0.9104841922575428
0.2,0.125,-0.075,0.9073844166497312
0.20833333333333334,0.13333333333333336,-0.075,0.9043693987829503
0.21666666666666667,0.14166666666666666,-0.075,0.9014295093459844
0.225,0.15000000000000002,-0.075,0.8985589456773664
0.23333333333333334,0.15833333333333333,-0.075,0.8957607855088611
0.24166666666666667,0.16666666666666669,-0.075,0.893039872046565
0.25,0.175,-0.075,0.8904013567645502
0.2583333333333333,0.1833333333333333,-0.075,0.8878549556404441
0.26666666666666666,0.19166666666666665,-0.075,0.8854121637733875
0.275,0.2,-0.075,0.8830813089770189
0.2833333333333333,0.20833333333333331,-0.075,0.8808693842292038
0.2916666666666667,0.21666666666666667,-0.075,0.8787810508963443
0.3,0.22499999999999998,-0.075,0.8768120065928401
0.30833333333333335,0.23333333333333334,-0.075,0.874951996777997
0.31666666666666665,0.24166666666666664,-0.075,0.8732000344193347
0.325,0.25,-0.075,0.8715716624532155
0.3333333333333333,0.2583333333333333,-0.075,0.8700852955807928
0.3416666666666667,0.26666666666666666,-0.075,0.8687439244289741
0.35,0.27499999999999997,-0.075,0.8675336030015769
0.35833333333333334,0.2833333333333333,-0.075,0.8664361879029339
0.36666666666666664,0.29166666666666663,-0.075,0.8654383326909566
0.375,0.3,-0.075,0.864530174615759
0.3833333333333333,0.3083333333333333,-0.075,0.8637008568453479
0.39166666666666666,0.31666666666666665,-0.075,0.8629373836868673
0.4,0.325,-0.075,0.8622275962157869
0.4083333333333333,0.3333333333333333,-0.075,0.8615633442978591
0.4166666666666667,0.3416666666666667,-0.075,0.8609398574590857
0.425,0.35,-0.075,0.8603535692366349
0.43333333333333335,0.35833333333333334,-0.075,0.859802324761062
0.44166666666666665,0.36666666666666664,-0.075,0.8592868965274768
0.45,0.375,-0.075,0.8588120976705832
0.4583333333333333,0.3833333333333333,-0.075,0.858390312052946
0.4666666666666667,0.39166666666666666,-0.075,0.8580530390567711
0.475,0.39999999999999997,-0.075,0.8578753626435138
0.48333333333333334,0.4083333333333333,-0.075,0.8579720726573996
0.49166666666666664,0.41666666666666663,-0.075,0.8583232314365127
0.5,0.425,-0.075,0.8582786227942866
0.5083333333333333,0.4333333333333333,-0.075,0.8562914722862844
0.5166666666666666,0.4416666666666666,-0.075,0.8543368067139533
0.525,0.45,-0.075,0.8525507348598876
0.5333333333333333,0.4583333333333333,-0.075,0.8510075400643573
0.5416666666666666,0.4666666666666666,-0.075,0.8496818241629885
0.55,0.47500000000000003,-0.075,0.8485923148973004
0.5583333333333333,0.48333333333333334,-0.075,0.8478130641683448
0.5666666666666667,0.49166666666666664,-0.075,0.8472968058592945
0.575,0.49999999999999994,-0.075,0.8463317644459473
0.5833333333333334,0.5083333333333334,-0.075,0.8429824068997698
0.5916666666666667,0.5166666666666667,-0.075,0.8398240654717742
0.6,0.525,-0.075,0.8369917101600546
0.6083333333333333,0.5333333333333333,-0.075,0.8345039655243476
0.6166666666666667,0.5416666666666667,-0.075,0.8322530785774083
0.625,0.55,-0.075,0.8301704952775312
0.6333333333333333,0.5583333333333333,-0.075,0.8282340148024558
0.6416666666666666,0.5666666666666667,-0.075,0.8264402417494969
0.65,0.5750000000000001,-0.075,0.8247962937791982
0.6583333333333333,0.5833333333333334,-0.075,0.8233196574878082
0.6666666666666666,0.5916666666666667,-0.075,0.8220365427723251
0.675,0.6000000000000001,-0.075,0.8209771849438272
0.6833333333333333,0.6083333333333334,-0.075,0.8201697844372756
0.6916666666666667,0.6166666666666667,-0.075,0.8196360534681092
0.7,0.625,-0.075,0.8193894285534091
0.7083333333333334,0.6333333333333334,-0.075,0.8194386749327545
0.7166666666666667,0.6416666666666667,-0.075,0.8197969265587829
0.725,0.65,-0.075,0.8204824761367093
0.7333333333333333,0.6583333333333333,-0.075,0.8215054168568573
0.7416666666666667,0.6666666666666667,-0.075,0.8228605088868401
0.75,0.675,-0.075,0.8245375943204623
0.7583333333333333,0.6833333333333333,-0.075,0.8265309415507759
0.7666666666666666,0.6916666666666667,-0.075,0.8288362401185851
0.775,0.7000000000000001,-0.075,0.8314443008307666
0.7833333333333333,0.7083333333333334,-0.075,0.8343409547030187
0.7916666666666666,0.7166666666666667,-0.075,0.8375094397339232
0.8,0.7250000000000001,-0.075,0.8409306732829742
0.8083333333333333,0.7333333333333334,-0.075,0.8445895283409639
0.8166666666666667,0.7416666666666667,-0.075,0.8484836493611123
0.825,0.75,-0.075,0.8526211721195357
0.8333333333333334,0.7583333333333334,-0.075,0.8570064258110535
0.8416666666666667,0.7666666666666667,-0.075,0.8616245446842258
0.85,0.775,-0.075,0.8664349511086029
0.8583333333333333,0.7833333333333333,-0.075,0.8713817003458536
0.8666666666666667,0.7916666666666667,-0.075,0.8764188301002808
0.875,0.8,-0.075,0.8815241253281357
0.8833333333333333,0.8083333333333333,-0.075,0.8866843105298057
0.8916666666666666,0.8166666666666667,-0.075,0.8918739832952601
0.9,0.8250000000000001,-0.075,0.8970514820583395
0.9083333333333333,0.8333333333333334,-0.075,0.9021744609203158
0.9166666666666666,0.8416666666666667,-0.075,0.9072250494139209
0.9249999999999999,0.85,-0.075,0.9121991247272019
0.9333333333333333,0.8583333333333334,-0.075,0.9170706560205081
0.9416666666666667,0.8666666666666667,-0.075,0.9217901341886118
0.95,0.875,-0.075,0.9263065812056273
0.9583333333333334,0.8833333333333334,-0.075,0.9305810126454352
0.9666666666666667,0.8916666666666667,-0.075,0.9345830565903809
0.975,0.9,-0.075,0.9382876575082941
0.9833333333333333,0.9083333333333333,-0.075,0.9416589276129093
0.9916666666666667,0.9166666666666667,-0.075,0.9446205142880473
1.0,0.925,-0.075,0.9475792004155118
0.0,-0.06999999999999999,-0.06999999999999999,
0.008333333333333333,-0.06166666666666666,-0.06999999999999999,
0.016666666666666666,-0.05333333333333333,-0.06999999999999999,
0.025,-0.04499999999999999,-0.06999999999999999,
0.03333333333333333,-0.03666666666666666,-0.06999999999999999,
0.041666666666666664,-0.02833333333333333,-0.06999999999999999,
0.05,-0.01999999999999999,-0.06999999999999999,
0.058333333333333334,-0.011666666666666659,-0.06999999999999999,
0.06666666666666667,-0.003333333333333327,-0.06999999999999999,
0.075,0.0050000000000000044,-0.06999999999999999,0.9451555011805403
0.08333333333333333,0.013333333333333336,-0.06999999999999999,0.9432649050455557
0.09166666666666666,0.021666666666666667,-0.06999999999999999,0.9409337747514044
0.1,0.030000000000000013,-0.06999999999999999,0.9382689460547038
0.10833333333333334,0.038333333333333344,-0.06999999999999999,0.9353499771290271
0.11666666666666667,0.046666666666666676,-0.06999999999999999,0.9322483794830964
0.125,0.05500000000000001,-0.06999999999999999,0.9290192775016447
0.13333333333333333,0.06333333333333334,-0.06999999999999999,0.9256935603147725
0.14166666666666666,0.07166666666666667,-0.06999999999999999,0.9222816582760212
0.15,0.08,-0.06999999999999999,0.9188015894729232
0.15833333333333333,0.08833333333333333,-0.06999999999999999,0.9152932655595198
0.16666666666666666,0.09666666666666666,-0.06999999999999999,0.9117846650379716
0.175,0.105,-0.06999999999999999,0.9082868707428932
0.18333333333333332,0.11333333333333333,-0.06999999999999999,0.9048291049124433
0.19166666666666665,0.12166666666666666,-0.06999999999999999,0.9014532687380561
0.2,0.13,-0.06999999999999999,0.8981778991619938
0.20833333333333334,0.13833333333333336,-0.06999999999999999,0.8949944647496297
0.21666666666666667,0.14666666666666667,-0.06999999999999999,0.8918903650010103
0.225,0.15500000000000003,-0.06999999999999999,0.8888655612673628
0.23333333333333334,0.16333333333333333,-0.06999999999999999,0.8859272670093505
0.24166666666666667,0.1716666666666667,-0.06999999999999999,0.8830805690594202
0.25,0.18,-0.06999999999999999,0.880332032149419
0.2583333333333333,0.1883333333333333,-0.06999999999999999,0.8776927429358202
0.26666666666666666,0.19666666666666666,-0.06999999999999999,0.8751715695320873
0.275,0.20500000000000002,-0.06999999999999999,0.8727744530521989
0.2833333333333333,0.21333333333333332,-0.06999999999999999,0.8705088975204452
0.2916666666666667,0.22166666666666668,-0.06999999999999999,0.8683778754254583
0.3,0.22999999999999998,-0.06999999999999999,0.8663726612077032
0.30833333333333335,0.23833333333333334,-0.06999999999999999,0.8644835758074115
0.31666666666666665,0.24666666666666665,-0.06999999999999999,0.8627189498354981
0.325,0.255,-0.06999999999999999,0.8611031670957
0.3333333333333333,0.2633333333333333,-0.06999999999999999,0.8596527353996899
0.3416666666666667,0.27166666666666667,-0.06999999999999999,0.8583609507331227
0.35,0.27999999999999997,-0.06999999999999999,0.8572073404185344
0.35833333333333334,0.28833333333333333,-0.06999999999999999,0.8561741104520789
0.36666666666666664,0.29666666666666663,-0.06999999999999999,0.8552498931961007
0.375,0.305,-0.06999999999999999,0.8544241160153517
0.3833333333333333,0.3133333333333333,-0.06999999999999999,0.8536827921573563
0.39166666666666666,0.32166666666666666,-0.06999999999999999,0.8530096215580294
0.4,0.33,-0.06999999999999999,0.8523906132033843
0.4083333333333333,0.3383333333333333,-0.06999999999999999,0.8518169123306043
0.4166666666666667,0.3466666666666667,-0.06999999999999999,0.8512827040513825
0.425,0.355,-0.06999999999999999,0.8507828468748998
0.43333333333333335,0.36333333333333334,-0.06999999999999999,0.850313571922519
0.44166666666666665,0.37166666666666665,-0.06999999999999999,0.8498736416337793
0.45,0.38,-0.06999999999999999,0.8494652007163619
0.4583333333333333,0.3883333333333333,-0.06999999999999999,0.8490975148686536
0.4666666666666667,0.39666666666666667,-0.06999999999999999,0.848798358477834
0.475,0.40499999999999997,-0.06999999999999999,0.8486382557862319
0.48333333333333334,0.41333333333333333,-0.06999999999999999,0.8487262303469308
0.49166666666666664,0.42166666666666663,-0.06999999999999999,0.8490372835289155
0.5,0.43,-0.06999999999999999,0.8489333045901762
0.5083333333333333,0.4383333333333333,-0.06999999999999999,0.8469103290484838
0.5166666666666666,0.4466666666666666,-0.06999999999999999,0.8449077554262582
0.525,0.455,-0.06999999999999999,0.8430749947193388
0.5333333333333333,0.4633333333333333,-0.06999999999999999,0.8414990299917342
0.5416666666666666,0.4716666666666666,-0.06999999999999999,0.8401740720562102
0.55,0.48000000000000004,-0.06999999999999999,0.8391342716572403
0.5583333333333333,0.48833333333333334,-0.06999999999999999,0.8383896000744765
0.5666666666666667,0.49666666666666665,-0.06999999999999999,0.837685208375082
0.575,0.505,-0.06999999999999999,0.8349081567888712
0.5833333333333334,0.5133333333333334,-0.06999999999999999,0.8314589598735178
0.5916666666666667,0.5216666666666667,-0.06999999999999999,0.8282978767236445
0.6,0.53,-0.06999999999999999,0.8254520564919684
0.6083333333333333,0.5383333333333333,-0.06999999999999999,0.8228630466098805
0.6166666666666667,0.5466666666666667,-0.06999999999999999,0.820437161880346
0.625,0.555,-0.06999999999999999,0.8181433995695523
0.6333333333333333,0.5633333333333334,-0.06999999999999999,0.8159773646440687
0.6416666666666666,0.5716666666666667,-0.06999999999999999,0.8139427156168
0.65,0.5800000000000001,-0.06999999999999999,0.8120514194071331
0.6583333333333333,0.5883333333333334,-0.06999999999999999,0.8103272140747293
0.6666666666666666,0.5966666666666667,-0.06999999999999999,0.8088041563247783
0.675,0.6050000000000001,-0.06999999999999999,0.8075200987118174
0.6833333333333333,0.6133333333333334,-0.06999999999999999,0.8065085294944703
0.6916666666666667,0.6216666666666667,-0.06999999999999999,0.8057933449547504
0.7,0.63,-0.06999999999999999,0.8053874417805729
0.7083333333333334,0.6383333333333334,-0.06999999999999999,0.8053002588257373
0.7166666666666667,0.6466666666666667,-0.06999999999999999,0.8055516265762643
0.725,0.655,-0.06999999999999999,0.8061688487216618
0.7333333333333333,0.6633333333333333,-0.06999999999999999,0.8071648487933112
0.7416666666666667,0.6716666666666667,-0.06999999999999999,0.8085316597562263
0.75,0.68,-0.06999999999999999,0.8102578172948218
0.7583333333333333,0.6883333333333334,-0.06999999999999999,0.8123390048983444
0.7666666666666666,0.6966666666666667,-0.06999999999999999,0.8147714563418365
0.775,0.7050000000000001,-0.06999999999999999,0.8175438269649615
0.7833333333333333,0.7133333333333334,-0.06999999999999999,0.8206396342730724
0.7916666666666666,0.7216666666666667,-0.06999999999999999,0.8240400101843491
0.8,0.7300000000000001,-0.06999999999999999,0.827721919146925
0.8083333333333333,0.7383333333333334,-0.06999999999999999,0.8316665278414384
0.8166666666666667,0.7466666666666667,-0.06999999999999999,0.8358709875744263
0.825,0.755,-0.06999999999999999,0.84034604927376
0.8333333333333334,0.7633333333333334,-0.06999999999999999,0.8450988481487987
0.8416666666666667,0.7716666666666667,-0.06999999999999999,0.8501124588003092
0.85,0.78,-0.06999999999999999,0.8553377043227073
0.8583333333333333,0.7883333333333333,-0.06999999999999999,0.8607093273045303
0.8666666666666667,0.7966666666666667,-0.06999999999999999,0.8661797273226631
0.875,0.805,-0.06999999999999999,0.8717303557839181
0.8833333333333333,0.8133333333333334,-0.06999999999999999,0.8773470009203648
0.8916666666666666,0.8216666666666667,-0.06999999999999999,0.8829972954271883
0.9,0.8300000000000001,-0.06999999999999999,0.8886311860070384
0.9083333333333333,0.8383333333333334,-0.06999999999999999,0.8941990042614785
0.9166666666666666,0.8466666666666667,-0.06999999999999999,0.8996832717004927
0.9249999999999999,0.855,-0.06999999999999999,0.9050828683119302
0.9333333333333333,0.8633333333333334,-0.06999999999999999,0.9103675625683786
0.9416666666666667,0.8716666666666667,-0.06999999999999999,0.9154827652894135
0.95,0.88,-0.06999999999999999,0.9203735904159994
0.9583333333333334,0.8883333333333334,-0.06999999999999999,0.9249935024795384
0.9666666666666667,0.8966666666666667,-0.06999999999999999,0.9293052144617281
0.975,0.905,-0.06999999999999999,0.9332812732210699
0.9833333333333333,0.9133333333333333,-0.06999999999999999,0.9368853905900815
0.9916666666666667,0.9216666666666667,-0.06999999999999999,0.9400370335735376
1.0,0.93,-0.06999999999999999,0.9431497731006934
0.0,-0.065,-0.065,
0.008333333333333333,-0.05666666666666667,-0.065,
0.016666666666666666,-0.04833333333333334,-0.065,
0.025,-0.04,-0.065,
0.03333333333333333,-0.03166666666666667,-0.065,
0.041666666666666664,-0.023333333333333338,-0.065,
0.05,-0.015,-0.065,
0.058333333333333334,-0.006666666666666668,-0.065,
0.06666666666666667,0.0016666666666666635,-0.065,0.9407887448339791
0.075,0.009999999999999995,-0.065,0.9389832654258222
0.08333333333333333,0.018333333333333326,-0.065,0.936714914489693
0.09166666666666666,0.026666666666666658,-0.065,0.9340269987625163
0.1,0.035,-0.065,0.9310127582914913
0.10833333333333334,0.043333333333333335,-0.065,0.9277552724220542
0.11666666666666667,0.051666666666666666,-0.065,0.9243302294645835
0.125,0.06,-0.065,0.9207896581138736
0.13333333333333333,0.06833333333333333,-0.065,0.9171525610324579
0.14166666666666666,0.07666666666666666,-0.065,0.9134253954082336
0.15,0.08499999999999999,-0.065,0.9096469797594151
